A: 	er zitten een groot verticaal balk voor de emmer 
A: 	en bovenop de emmer hebben je een bal 
B: 	ja 
B: 	duidelijk 
A: 	en dan links en rechts hebben je twee cilinder 
B: 	L 
B: 	ja 
B: 	L 
A: 	ja 
A: 	negen 
B: 	een lang recht balk Voorin 
B: 	met een balle wat eigenlijk in het kop lijken te kunnen vallen 
B: 	twee klein dun armpjes ja 
A: 	deze hebben een bal bovenop de emmer en voor de emmer zijn een balk 
A: 	na zeven 
B: 	ja 
B: 	M 
A: 	deze hebben die bal bovenop en voor de emmer een groot balk 
A: 	negen 
B: 	groot balk naar beneden vooraf , bolle bovenop 
B: 	en twee klein dinge 
B: 	waar zijn je 
B: 	met de bol aan de bovenkant 
B: 	ja 
B: 	O 
B: 	balk aan de voorkant 
B: 	recht balkje 
B: 	balle Bovenin 
B: 	twee klein armpjes 
