B: 	ja 
B: 	o 
A: 	okeeen je hebben het kopvormp 
A: 	dan staan er schuin in aan de bovenkant zeggen maar een ruit 
A: 	en aan de zijkant van de ruit daar zitten twee van die ja Blokkentorens 
A: 	onderaan daar zitten een nou ja een l-vorm 
A: 	licht l-vorm 
A: 	ook aan de rechterzijkant zitten zo'n uitstekend l-vorm 
A: 	en in het midden zitten er dan een ja ik denken het zijn een zeshoek 
A: 	die uitsteken alsof het een beetje een neus zijn 
A: 	ja 
A: 	twee blokkentorens tegen elkaar ja 
B: 	deze hebben een soort van staaf die eruit komen onderaan die naar de toe wijzen 
B: 	en aan de zijkant komen er ook zoiets uit wat aan de rechterkant ook naar je toe wijzen 
B: 	bovenop zijn er twee ruit en dan 
B: 	ja 
B: 	ja d 
B: 	deze hebben de ruit bovenop met de staaf eruit 
B: 	en aan de onderkant en aan de rechterkant komen er een soort van iets uit wat naar jou toe wijzen 
A: 	okee 
B: 	ja daarachter soort van twee ruit 
A: 	beetje zo'n l-vorm aan de onderkant 
B: 	en aan de een kant komen er die blok uit en aan de ander kant 
A: 	en eigenlijk de ruit die er half ingestoken 
A: 	ja 
A: 	ja vijfteen 
B: 	ja c 
B: 	dit zijn de met de twee ruit bovenop en waar de blok uitkomen 
A: 	dit zijn die met de ruit met de twee blokkentorens aan de bovenkant 
A: 	de vorm aan de onderkant 
A: 	ja 
A: 	ja zeven 
A: 	dit zijn die met de vierkant Erbovenin met de twee blokkentorens tegen elkaar aan 
A: 	ja waar zijn hij 
A: 	ja twaalf 
