A: 	ja 
A: 	ja 
A: 	ja nummer vijf zijn dat 
B: 	dit zijn de enig die soort van been en voet hebben 
B: 	ja 
B: 	ja 
A: 	dit zijn weer de bak en er zitten bovenop drie ding , een draaien paal en hij steunen op een driehoek 
A: 	hij lijken een beetje op een gieter als je er van 
A: 	ja een soort van gieter zijn dat 
A: 	vast 
A: 	en de misschien zijn het het veel opvallen zijn de pilaar waar die op zitten dus dat gedraaide die gedraaide 
A: 	ja 
A: 	en op driehoek leunen hij 
A: 	de voet van de pilaar zijn een driehoek 
B: 	een voet ja 
B: 	ja en een staart link 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn A 
A: 	nummer veertien 
B: 	dit zijn die vogel kip 
A: 	de bak die draaien staan met de draaien pilaar 
A: 	die leunt op het driehoekje 
A: 	nummer drie 
B: 	ja ik zoeken hem 
B: 	ja dat zijn K 
A: 	de bak die draaien met de draaien pilaar die op het driehoek staan 
B: 	dit zijn de vogel 
B: 	J 
