B: 	wachten wachten 
B: 	kunnen je hem nog 
A: 	weer de hoofdbak ja en dan hebben je een soort kwast dat zijn dus eigenlijk twee kwast één staan op de hoofdbak en één steken Linksvoor uit 
B: 	die 
A: 	en dan zien je ook nog heel klein stuk van linksachter 
A: 	en aan de rechterkant van die hoofdbak zitten een een figuur dat eigenlijk vierkant zijn en dan steeds klein worden 
A: 	en het klein vierkan zitten aan de hoofdbak vast 
A: 	ja een soort kwastje 
B: 	en dat rechterhandvatten bestaan dat uit drie vierkant één klein iets groot groot 
A: 	ja ja 
B: 	okee 
B: 	dan zijn het I 
A: 	ja 
A: 	ja dat zijn nummer zeven 
A: 	dit zijn de hoofdvorm met twee kegel één erbovenop één linksvoor je zien ook nog een soort van armpje linksachter 
A: 	en aan de rechterkant hebben je vierkant die zo in elkaar lopen 
B: 	hier zitten ook een roerstaafje in aan ja aan beide zowel links aan de zijkant als bovenin hetzelfde 
B: 	en aan de rechterkant een soort van houder met die vierkanten drie vierkante van groot naar klein 
B: 	en aan de link daarachter nog een hengsel 
B: 	of ja twee dezelfde 
A: 	ja 
A: 	zes 
B: 	wat er bovenin zitten zitten ook aan de linkerkant 
B: 	ja 
B: 	ja 
A: 	dit zijn de hoofdvorm met aan de rechterkant die vierkant die zo ineen lopen 
A: 	en je hebben twee kegel 
A: 	ja 
B: 	ja 
B: 	ja dat zijn I 
A: 	ja nummer elf 
B: 	met twee kwast één aan de linkerkant één Bovenin 
B: 	precies hetzelfde 
B: 	en dan ja rechts zo'n driehoekding en links nog een slurfje 
B: 	driehoek sorry 
B: 	rechts drie kubus van groot naar klein 
B: 	ja 
B: 	ja dat zijn n 
B: 	twee kwast er zo in 
B: 	aan de zijkant en boven 
