B: 	oké 
B: 	dit lijken een beetje ik vinden hem altijd een beetje op een gezich lijken er staan een heel groot cirkel voorop en er zitten drie van die 
B: 	soort van balk eromheen en met al aan al twee de kant drie van die rond 
B: 	weten je wel ? een soort van 
B: 	ik zien het een beetje als staart of zo 
B: 	ja achtig idee 
B: 	plateau eronder ja 
B: 	oké 
A: 	ja 
A: 	ja ja 
A: 	en aan de voorkant zitten zo'n rond met zo'n 
A: 	ja 
A: 	en hij zitten ook op een vierkant vlak 
A: 	ja oké dan weten ik het 
A: 	dat zijn vijf 
A: 	ik hebben die een met die ballet aan de achterkant 
A: 	of ja wat zijn het ? het zijn allemaal van die loss stuk 
A: 	die jij die jij ook wel vrij snel in het begin hebben 
A: 	die hebben een soort bommetje als neus 
A: 	en hij hij zitten op dat vierkant plateau dat zijn misschien het makkelijk om te zeggen 
A: 	dus dat vierkant plateau zitten er niet doorheen maar die zitten eronder 
A: 	ja ja 
A: 	zo'n 
A: 	ja precies 
B: 	dit zijn J 
B: 	dit zijn die clown 
B: 	nou die Pippi Langkous bedoelen ik 
B: 	met die staart 
B: 	ja ik zien er ook een clown in vanwege dat soort van platgedrukt neus voorop 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	en dat dinge aan de voorkant 
A: 	ja dat zijn elf 
B: 	ja 
B: 	P 
A: 	ik hebben diegene met die ballet noemen ik het bollet aan de achterkant 
A: 	ja 
A: 	ook aan zijkant ja 
B: 	dit zijn die Pippi Langkous 
B: 	met die staart 
B: 	dit zijn L 
A: 	ja die ballet allemaal toch 
A: 	ja 
A: 	zijn nummer negen 
A: 	ik hebben die met die bollet 
A: 	die die staaf 
