B: 	ik hebben het vierkant volgens mij 
B: 	het zijn nou ja die basisvorm en dan zitten er een half cirkel achter 
B: 	met aan de linkerkant zijn een soort van armpje wat uitsteekt en dan zitten er een soort van 
B: 	ja 
B: 	ja 
A: 	yes 
A: 	ophangen 
A: 	nee hoe ? omschrijf de vorm maar 
A: 	kunnen je nog een keert ? oké jij zeggen dat die ergens aan de onderkant iets hebben zitten 
A: 	lijken het een trofee 
A: 	of zijn het een vierkant waar die op staan 
A: 	oké ja 
A: 	en het hebben een soort van vierkant een soort van neus erbovenop hebben het een puntmuts op 
A: 	oké 
A: 	oké en zitten er aan de links kant zitten er een soort van ding en aan de onderkant zitten er inderdaad een soort van rechtopding en inderdaad een lepeltje ja zijn 
A: 	ik denken dat ik weten welk je bedoelen 
A: 	dat zijn dertien 
B: 	ja ja dat zijn O 
B: 	shit 
B: 	ik hebben het rood licht sorry 
B: 	het zijn die die op een soort van dinge staan waardoor het lijken alsof hij poo hebben en hij hebben die half cirkel daarachter 
A: 	oké dit zijn die een wat jij waar we in het begin even wat moeite mee hebben dat er een lepeltje in staan maar dat er een soort van koekje in hing of zo 
B: 	en een kegel 
A: 	of net als bij een cocktail dat je weleens zo'n citroen hebben die over het glas over die rand van het glas zo erin zitten 
A: 	met aan de zijkant dat stok 
A: 	met die raar 
A: 	ja nee met die raar soort van standaard volgens mij zijn het de allereer die we hebben 
A: 	met een soort van ovaal standaard waar die op staan 
A: 	ja ja ja die komen eruit dat zijn een soort van Pinokkioneus 
A: 	en in ja aan de linkerkant maar wel wat veel in het midden zeggen maar zitten een soort dat dat dat dat rond zeggen maar 
A: 	ja die Pinokkio 
A: 	met die pinokkio Pinokkioneus 
A: 	ja waar die ergens op vaststaan inderdaad 
A: 	ja dat zijn bij mij achten 
B: 	ja C 
B: 	het zijn die met die soort van beent en met die half cirkel erachter 
B: 	ja 
A: 	dit zijn de Pinokkioneus 
A: 	met die lepel die in zijn hoofd staan zeggen maar 
A: 	met dat koek wat over het glas heen hing 
A: 	de gieter 
A: 	of de pomp met het ei erop zeggen maar 
A: 	ja met die drie kra zeggen maar 
A: 	de Pinokkio 
A: 	de Pinokkio ja nummer zeven 
B: 	ja 
B: 	C 
B: 	ik hopen niet dat we nog lang moeten staan 
B: 	klaar mee 
A: 	de de Pinokkio bij mij met die lepel die erin staan en dat koek wat over het glas heen hangen 
A: 	nou volgen deel 
A: 	Hallo 
