A: 	dit zijn ook volgens mij één die ik in ieder geval het één hebben dat zijn een kop en daar komen er dan een driehoek bovenuit met de punt naar boven 
A: 	en er zitten nog een blok voor een blok onder een blok aan de zijkant 
A: 	zijn dat 
A: 	ja zijn dat met die punt 
A: 	ja 
A: 	dat zijn zes 
B: 	ja 
B: 	ja 
B: 	dat zijn J bij mij 
A: 	dit zijn degeen met de vierkant met de punt omhoog en dan die blok nog voor en achter ook nog wat ding beneden 
A: 	snapen je welk ik bedoelen 
A: 	ja 
A: 	de driehoek 
A: 	of de Driekhoek bedoelen ik zo ja 
A: 	ja 
A: 	de driehoek met de punt omhoog daar komen boven het koppie uit dan hebben je nog een soort raar blok aan de voorkant je hebben nog 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn tien 
B: 	deze hebben zo'n driehoek aan de bovenkant 
B: 	en aan de voorkant soort van kubus maar dan bred aan de onderkant 
B: 	en dan links nog soort van klein punt 
B: 	pluimpje en dan linksonder nog een cirkel 
A: 	dit zijn degeen met punt de driehoek die 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn E 
A: 	ja ja ja ja 
A: 	ja 
A: 	dit zijn tien 
B: 	dit zijn die met die scherp driehoek aan de bovenkant 
B: 	kubus kubusachtig aan de voorkant 
B: 	cirkel en een pluimp 
B: 	ja dat zijn G 
B: 	dit zijn die met die puntig driehoek aan de bovenkant 
B: 	en kubusachtig en cirkeltje en pluimp 
B: 	staart 
