A: 	ah 
A: 	nu staan er zo'n scheef kegelt achter bovenop een beetje zo'n man bun zeggen maar 
A: 	en dan aan de voorkant zo'n neus of zo'n ei met zo'n staaf erdoorheen en dan 
A: 	nee 
A: 	en dan je hebben aan de voorkant zo'n eivorm 
A: 	daar doorheen zitten zo'n staaf zo'n zo'n rechthoekig staaf en dan 
A: 	en aan die staaf zitten nog zo'n cirkelt 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	een bal ja 
B: 	ja 
B: 	ik hebben een vermoeden 
B: 	zitten er nog een schijf toch 
B: 	ja 
B: 	okee 
B: 	ik denken dat ik hem wel weten 
B: 	ik gaan voor a 
A: 	ja die zo scheef naar achter staan 
A: 	okee dat zijn drie 
B: 	ah we komen nu bij het kop met eineus met een staafje erdoorheen 
B: 	horizontaal en aan één uitein dus een schijf 
B: 	ja met het pluimp bovenop ja 
A: 	dit zijn ook met zo'n bal aan de voorkant maar dan waar die staaf doorheen gaan en dan rechts nog zo'n cirkel aan zitten 
A: 	ja 
A: 	ja ik weten al welk het zijn twee 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij f 
A: 	dit zijn met die bal erboven waar die staaf doorheen gaan met dat cirkel eraan 
A: 	ja 
A: 	ja 
A: 	nee ja ja dat zo ja dat klein kegelt klpen ja 
B: 	koffie nodig 
B: 	dit zijn de eineus met een horizontaal balk door zijn neus heen en aan het uitein een een schijf 
B: 	ja 
A: 	ja twee 
B: 	ja 
B: 	waar zijn je waar zijn je 
B: 	ah 
B: 	dat zijn voor mij nu i 
B: 	kop met eineus met daardoorheen ja dus die werkbank 
B: 	waar hebben je het over of springplank 
B: 	Springstok ja 
