B: 	iets erbovenuit 
B: 	teken van een voet 
B: 	ja 
B: 	één zo'n streepje erboven dat zijn eigenlijk ook aan de zijkant hetzelfde 
B: 	hebben die zo hebben het zeggen maar zo'n kuifje erboven 
B: 	ja 
B: 	en zijn het dan zo ja zo'n eigenlijk dat het net lijken of dat er een neus zijn met een neuspiercing 
B: 	ja oké 
B: 	ja 
B: 	oké ja 
B: 	dan hebben ik hem 
B: 	F 
A: 	even kijken ik hebben nou ook een mok met een soort van lepeltje erin alleen lijken het lepeltje aan de achterkant te zitten 
A: 	en aan de voorkant zien je zo'n bol met zo'n staaf erdoorheen 
A: 	en aan de aan de rechterkant nog een soort van muntstuk 
A: 	aan eraan vast 
A: 	oké 
B: 	en dit zijn weer die met dat kuifje en dan met die neus met zo'n ding erdoorheen 
B: 	ja 
A: 	oké ja 
A: 	dat zijn dus dat ei met die balk erdoorheen en dan nog aan de rechterkant zo'n soort van mun 
A: 	ja 
A: 	oké nou dan zijn dat de indiaan vanaf nu 
A: 	dat zijn nummer vijf 
B: 	de neuspiercing dat zijn A 
A: 	dit zijn die ik net bedoelen dit zijn ook met een ei aan de voorkant met een balk erdoorheen 
A: 	ja 
A: 	ja en dan nog dat rondig 
A: 	plaa ja dat 
A: 	oké de indiaan 
A: 	ja 
B: 	de neuspiercing 
A: 	ja 
A: 	nummer vijf 
B: 	waar zijn 
B: 	even kijken waar daar 
B: 	H 
A: 	dit zijn volgens mij noemen jij hem de indiaan 
A: 	met dat lepeltje bovenin dat ei aan de voorkant balk door dat ei heen 
B: 	de neuspiercing 
A: 	de indiaan 
A: 	nee bij mij niet 
A: 	indiaan bedoelen jij dat lepel erin en dan die ei aan de voorkant 
A: 	doorboirden ja 
A: 	hij zijn bij mij niet het bij mij hebben je dat driehoekje ik zullen eerst zeggen zijn nummer vijftien 
