A: 	met die dansen been 
A: 	oké 
A: 	een dartpijl 
A: 	ja 
A: 	groot rond neus 
A: 	en dan achterin een zo'n beetje zo'n ja zo'n met zo van een ruitvorm zeggen maar 
A: 	en dan nog een klein stuk eronder en dan hebben hij ook nog een soort van rechthoekig ding ernaast 
A: 	oké 
A: 	ja dat zijn veertien 
B: 	oké 
B: 	hij hebben weer hij hebben een echt zeggen maar echt zo'n bol neus 
B: 	of ja het zitten veel aan de zijkant 
B: 	en bovenop zijn een een een rechthoek 
B: 	en één iets ander dat lijken een beetje op zo'n bowling kegel 
B: 	ja 
B: 	ja 
A: 	dit zijn die met de rond neus en de dartpijl achter op zijn hoofd 
B: 	Hoezo 
B: 	ja 
B: 	kegel 
B: 	ja en dan en dan zo'n bol weer 
B: 	ja 
B: 	N 
A: 	dat zijn negen 
A: 	dit zijn de rond neus en dartpijl in zijn achterhoofd 
B: 	weer die bol zeggen maar 
B: 	en dan bovenop een blok en een kegel 
B: 	ja 
A: 	vijf 
A: 	dat zijn die met de dartpijl 
B: 	ja 
B: 	G 
B: 	weer die rond neus en dan met die met zo een waterdruppel en die balk 
B: 	bovenop 
B: 	ja even zoeken 
B: 	ik weten precies hoe die eruitzieten maar ik kunnen hem hier staan die 
B: 	J 
