A: 	ok ja deze hebben aan de bovenkant eigenlijk twee heel smal vierkant en aan door die vierkant heen zitten eigenlijk weer een 
A: 	staafje die eigenlijk een beetje bestaan uit vierkant en aan de onderkant hebben hij eigenlijk zo'n klein ja 
A: 	balkje die wel echt een beetje krom lopen en hij hebben één armpje en aan de voorkant zitten ook nog iets 
A: 	ja 
B: 	ja 
B: 	aan de onderkant hebben je ook zo'n 
B: 	ja 
B: 	oké dan zijn het bij mij dan M 
A: 	zijn dat met die twee vierkant 
A: 	of zijn dat weer een ander 
A: 	ok willen je het nog heel even snel omschrijven 
A: 	ja ok 
A: 	dat zijn negen 
B: 	ja ik hebben nu die een weer met ja een soort van dat zijn die een met hoe noemen je dat 
B: 	ja een vierkant zeggen maar aan de bovenkant of ja een soort van ruit 
B: 	en daaruit steken dan ook weer van die vierkant die telkens groot worden 
B: 	ja 
B: 	ja die inderdaad 
A: 	ja dit zijn degeen met dat aan de onderkant ja zo'n ding en aan de bovenkant van die vierkant die draaien zijn en ook weer met die uitloop 
A: 	niet die draaien schroef het zijn gewoon zo 
A: 	en aan de bovenkant hebben hij draaiden vierkant zeggen maar die twee naast elkaar zitten 
A: 	of smal 
A: 	ja ja die ja 
A: 	ja 
A: 	ja dat zijn negen 
B: 	die een met ook weer die vierkant die telkens groot worden die uit zo'n uit een ruit komen zeggen maar 
B: 	oké dat zijn bij mij zijn dat H 
A: 	zijn dit nou het dier draaien ? ja volgens mij wel met die vierkant en ja 
A: 	ja dat zijn veertien 
B: 	nou hebben we weer die een met die ruit zeggen maar aan de bovenkant met die de vierkant die steeds groot worden inderdaad en dan eronder en 
B: 	aan zijkant 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij D 
B: 	dan hebben we weer die een met met die ruit zeggen maar waar dan die drie of die kubus uit komen die steeds groot worden 
