A: 	ja oké ja 
A: 	ja ja ja ja ja ik weten hem 
A: 	welk 
A: 	O zestien 
B: 	oké bij mij ik vinden hem een beetje op een machinegeweer zeggen maar 
B: 	je moeten een AK47 in je hoofd nemen en dan ja je je zien echt zo'n handvat en een 
B: 	en een magazijn maar misschien hebben ik te veel Battlefield spelen dat kunnen ook 
B: 	oké 
B: 	ja zeggen maar al al voorwerp zitten aan de bovenste kant van het heel dinge 
B: 	en helemaal bovenaan linksbof in de hoek van dat dinget zien je heel klein zo omhooggaan 
B: 	ja maar dan in dan zien je maar twee poet 
B: 	ja 
B: 	ja 
A: 	tafel 
A: 	veertien 
B: 	P 
A: 	ja welk zijn dat 
A: 	P 
A: 	P vijftien P veertien 
B: 	ik hebben die weer met die met die AK 
A: 	tafel 
A: 	achten sorry 
A: 	ja 
A: 	I tien 
B: 	ja 
B: 	N 
B: 	die AK 
B: 	de AK47 
A: 	tafel 
A: 	zestien 
B: 	ja 
B: 	D 
