A: 	het zijn een beetje een basketbal die in een net terechtkomen 
A: 	ja 
A: 	nog nog twee uitsteeksel zeggen maar je hebben zeggen maar zo'n zo'n pilaar en dan een basketbal met een net 
A: 	of een korfbal lijken het wel een beetje op 
B: 	vooraan een lang balk 
B: 	en liggen daarbovenop een bolle 
B: 	ja 
B: 	D 
A: 	Basketbal ja die hebben we hebben vijftien 
B: 	dit zijn zo'n ding met een lang balk 
B: 	lijken lijken gewoon op een hoog toren zeggen maar en bovenin bovenop liggen een bol op het plaat 
B: 	aan de zijkant van die 
B: 	ja 
A: 	dit zijn de basketbalnet 
A: 	een basketbal 
B: 	even 
B: 	ja die bol bovenop en dan één toren van het World Trade Center lijken het 
B: 	L 
A: 	ja 
A: 	even kijken waar staan die ? hier 
A: 	zes 
B: 	met die rond bovenop die bol zeggen maar en dan weer die lang balk aan de voorkant 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	de de basketbal 
B: 	die bol en dan weer die World Trade Center 
A: 	ja 
A: 	drie 
