A: 	oké ja hoe hebben ik hem beschrijven ? nou het zijn gewoon die rond kop weer en aan de zowel aan de linker als rechterkant hebben je een rond ovaal staaf wat er eigenlijk doorheen gaan 
A: 	je uitzien aan de linkerkant zien je een klein stuk ervan aan de rechterkant steken die lang uit 
A: 	en aan de achterkant hebben je zo'n soort schuin plank zeggen maar 
A: 	ja 
B: 	dus als een soort scha 
B: 	zo met twee van die poot zitten er ook onder 
B: 	of zijn het dat het ook wel lijken aan de linkerkant steken iets uit 
B: 	lijken een beetje alsof het zo zijn dichtgevouwen 
B: 	ja alsof zo'n een vlak alsof het op een standaard staan 
B: 	oké 
B: 	dan zijn het K 
A: 	ah ja ja ja even kijken waar staan die bij mij 
A: 	daar 
A: 	negen 
B: 	ja dit zijn dat figuur met daarachter een vlak op een standaard en twee 
B: 	paal aan de zijkant die daar zo in ge duwd zijn 
B: 	dat vlak dat staan er zeggen maar schuin achter 
B: 	op een standaard 
B: 	lijken het 
B: 	zo staan die zo tegen dat figuur aan 
B: 	en dan twee een soort van paal 
B: 	één heel kort aan de 
B: 	ja 
A: 	met die even kijken dat plaat met die rol door het midden zeggen maar met link iets kort rechts iets lang 
B: 	met het plateaut aan de achterkant met standaard 
B: 	dat zijn F 
A: 	oké ja 
A: 	drie 
B: 	dit zijn met de twee paal die een beetje aan de onderkant er zo in duwen zijn en aan de achterkant een vierkant vlak met een standaard 
B: 	ja ik zitten te twijfelen ik weten niet of jij deze de Hamer noemen 
B: 	oké dan de hamer 
A: 	dat kop met die staaf erdoorheen met linkerkant 
A: 	ja precies 
B: 	het ding aan de achterkant 
B: 	dat zijn L 
A: 	ja 
A: 	even kijken 
A: 	waar zijn die verstoppen ? ah vijf 
B: 	dit zijn de hamer met het plateau boek erachter 
B: 	bij mij staan die in het midden 
B: 	en dan een stuk naar onder 
