A: 	alsof je kennen je die bankschroeven waar waar je als als kind daar doen ik altijd mee spelen waar je hem ieder keer zo 
A: 	moeten je hem ieder keer zo aandraaien dat zitten aan de linkerkant met een plat rond plateau aan de rechterkant 
A: 	ja vag kunnen ik het niet maken 
A: 	er zitten één aan de linkerkant zitten er een pin 
A: 	er zitten een een een nietgeometrisch vorm met een pin 
A: 	en aan de ander kant zitten een rond plateaut 
B: 	ja 
B: 	ja een soort cilindertje 
B: 	ja yes ja 
B: 	zo'n naar binnen of naar binnen gevouwen 
B: 	dan zijn het 
B: 	ja 
B: 	L 
A: 	ja even kijken waar die zijn 
A: 	ja zeven 
B: 	dit zijn die met aan de linkerkant dat soort omgevouwen met de Eiffeltoren er zo omgekeerd in zetten 
B: 	en aan de rechterkant een soort van plateautje 
B: 	een rond plateaut 
B: 	en aan de linkerkant een soort van Cvorm omgevouwen 
B: 	ja 
B: 	ja 
A: 	zijn die bankschroef weer 
B: 	ja ja met het omgevouwen stuk 
B: 	dat zijn C 
A: 	die bankschroef 
A: 	één 
A: 	de bankschroef 
B: 	dit zijn de Eiffeltoren 
A: 	ja 
A: 	dat zijn dertien 
B: 	dat zijn A 
B: 	dit zijn Eiffeltoren in de omgevouwen C 
