B: 	ik vinden dit een beetje op zo'n tapje lijken als je zo'n groot glas komen hebben waar je limonade uit kunnen tappen 
B: 	dan komen er zo'n balkje uit waar ook weer een balkje op zitten 
B: 	en aan de zijkant zitten twee van die schuin ding die zo lopen aan de een kant zien je hem goed dan aan de ander kant 
B: 	en bovenop zitten nog een balkje 
B: 	oké 
A: 	ja 
A: 	lampenkap 
A: 	ja 
A: 	ja 
A: 	wachten en ze zitten zitten zitten aan beide kant lampenkapjes 
A: 	en erbovenop zitten één zitten toch een balkje toch 
A: 	ja oké dan weten ik het 
A: 	dat zijn acht 
B: 	even kijken waar die zijn hoor 
B: 	ja ja dat zijn E 
A: 	het zijn een zitten een balk op 
A: 	en die twee van die hoe noemen jij het 
A: 	ja van die lampenkapjes naast twee lampenkapjes naast 
B: 	dit zijn de kip en het watertapdinge 
B: 	dat zijn E 
A: 	oké 
A: 	ja 
A: 	en dan twee lampenkapjes naast 
A: 	en twee een cilinder ervoor in de voorkant volgens mij zijn dat een cilinder 
A: 	ja 
A: 	één zijn dat 
B: 	dit zijn weer de kip 
B: 	of de watertap 
A: 	lampenkapjes balkje erop 
B: 	ja dat zijn O 
A: 	ja 
A: 	die lampenkap lampenkapjes waar zijn de lampenkapjes 
A: 	ja 
A: 	dat zijn zestien 
A: 	lampenkapjes met de balk erop 
