B: 	ja 
B: 	oké ja dan zijn het K 
A: 	oeh het lijken alsof er een soort zo'n ijzeren pen 
A: 	door de kop heen zitten want het zijn het zijn zeggen maar een soort van twee rondeachtig balk en daar zitten dan een soort van een kop aan 
A: 	ik weten niet of je nu snapt wat ik bedoelen 
A: 	en en aan de achterkant komen lijken er nog een vierkant uit te neerkomen maar die zijn een beetje half verbergen en daar komen ook weer een balk naar beneden uit 
B: 	oké deze hebben die uitsteeksel met aan de zijkant een bol waarvan de een lang zijn dan de ander 
B: 	en aan de achterkant zitten wat ik vinden een beetje zo'n metselding lijken 
B: 	maar met zo'n balk zeggen maar zo'n plat en dan zijn nog een streepje daaraan 
B: 	ja 
B: 	ja ja ja 
B: 	oké 
A: 	omlaag 
A: 	ja ja ja ja 
A: 	negen 
B: 	ja ik moeten even zoeken waar die staan 
B: 	ja ik moeten alleen even zoeken waar die staan want anders hebben het ja ja oké ja ja dat zijn F 
B: 	oké 
B: 	ik hebben die met die twee uitsteeksel met een bol erop die niet even lang zijn 
B: 	en die metselding 
B: 	oké 
A: 	dit zijn dat kop weer met die pin erdoorheen en dan zo'n vierkant aan de achterkant met een slangetje eraan 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	ding eraan 
A: 	ja 
A: 	twee van die bollet aan de 
A: 	ja oké 
A: 	ja 
A: 	slim 
A: 	drie 
B: 	ik hebben diegene met die uitsteeksel en een bol op erop en dan dat die ongelijk zijn aan twee kant 
B: 	ja staan weer anders 
A: 	dit zijn het zwaard 
A: 	die staan dat zijn vijf 
