B: 	ja 
B: 	ja 
B: 	ja bij mij zijn dat F 
A: 	oké bij mij hebben ik er één met een een vierkantje het lijken een beetje op een poppe wat een soort van lans vasthouden met een soort van zuignap erop een stok aan de rechts 
A: 	kant hebben die die 
A: 	er zitten 
A: 	ja ik waar mijn vierkant omheen zitten 
A: 	nee nee nee we hebben de basisvorm dat zijn een soort van kop 
A: 	maar aan de bovenkant komen er inderdaad weer een soort van lepeltje uit zoals jij dat net omschreef 
A: 	en dan zitten er aan de voorkant aan de rechts zijkant zitten eerst een soort van eivorm met daardoorheen een vierkant staaf met daaromheen met daar aan het uitein weer een soort van cirkelt 
A: 	voor mij lijken het een beetje op zo'n zuignap net als bij zo'n pijl en buigen dinge die je zo weg kunnen voortschieten vroeg 
A: 	snapen je wat ik daarmee bedoelen te zeggen 
A: 	snapen je wat ik bedoelen 
A: 	ja ja of ik denken een soort van ridder die met een lans aan het rennen zijn of zo 
A: 	ja 
B: 	het zijn die met die neus met die stok erdoorheen 
B: 	ik noemen hem ook de neuspiercing 
B: 	je moeten eerst nog het ding zeggen toch 
A: 	ja zo'n zo'n ridder zijn het met die zuignap ja ik zien hem 
A: 	nummer vijf 
B: 	ja 
B: 	vinden A 
B: 	het zijn die neuspiercing 
A: 	dit zijn die een met die zuignap Lans 
A: 	zeggen maar die ridder die zo gaan rennen met die lepel die er ook in staat volgens jou 
B: 	H 
A: 	yes even kijken 
A: 	nummer vijf 
A: 	degeen met de zuignap 
A: 	aan de die die vasthebben zeggen maar 
B: 	dit zijn de neuspiercing 
A: 	waar zijn die 
A: 	vijftien 
