B: 	deze hebben zeggen maar een driehoek er onder en er zitten zeggen maar een staafje aan en die zijn draaien 
B: 	dat zijn dan twee 
B: 	ja ok 
A: 	een soort driehoek of zo 
A: 	ja 
A: 	maar in ieder geval die kronkel en dan op die driehoek 
A: 	ja dat zijn vier 
B: 	driehoekje ja zijn A 
A: 	ja dit zijn die op dat driehoekig platformp met die kringel omhoog 
A: 	en dan die twee kubus bovenop en aan de linkerkant dat driehoekje 
A: 	ja 
B: 	die draaien driehoek onderin 
B: 	een blok vallen er bijna af bovenaan 
B: 	L 
B: 	met die draaien driehoek aan de onderkant blok wat er boven bijna af vallen 
A: 	ja dat zijn tien 
B: 	F 
A: 	ja dit zijn dat man met die die draai richting dat driehoekje aan de onderkant 
A: 	ja 
A: 	ja 
A: 	dat zijn vier 
A: 	dit zijn ja het man met de spiraal en de driehoek aan de onderkant 
