B: 	ja 
B: 	ja 
B: 	met aan de linkerkant ook nog twee uitsteekselt en aan de bovenkant zo'n 
B: 	ja dat zijn I 
A: 	deze kop 
A: 	even kijken horen hij hebben de bovenkant zitten zijn er een driehoek maar die zijn afgevlken 
A: 	ja 
A: 	er zitten een soort hendel aan en twee plat rechthoe 
A: 	ja 
B: 	dit zijn de hoe noemen jij het ? varken 
B: 	ja dat zijn N 
A: 	ja 
A: 	even kijken horen 
A: 	afgevlakte driehoek die erbovenop zitten 
A: 	daar hebben we er volgens mij ook maar één van toch 
A: 	ja en er zitten ook iets onder toch een soort van uitlaat 
A: 	een bak liggen ernaast 
A: 	ja 
A: 	ja en er zitten ook nog twee vlak ernaast toch 
A: 	aan de linkerkant 
A: 	nee aan de rechterkant 
A: 	zitten twee balk 
A: 	ja 
A: 	oké dat zijn twee 
A: 	en ik hebben beker afgevlakte vier driehoek 
A: 	met het hendelt waar je zo van houden 
A: 	en klein gas uitlaat aan de 
B: 	dit zijn weer het varken 
B: 	dat zijn F 
B: 	dit zijn weer het varken 
A: 	ja we zijn helemaal druk bezig met een nieuw manier uitvinden ja 
A: 	oké 
A: 	met het hendelt even kijken waar zijn die 
A: 	ah 
A: 	dat zijn negen 
A: 	ja 
A: 	ja ik weten niet 
A: 	ze zeggen dat het een uur kunnen duren ik hebben geen idee dus de tijd hier gaan niet veel 
A: 	er zitten een hendel 
A: 	afgevlakte driehoek 
A: 	ah hendelt 
A: 	waar zijn die ? ja 
A: 	dat zijn zes 
