B: 	ok ja dit moeten mij een doen me beetje denken aan een fabriek of zo omdat er zeggen maar een buis Ronde Buis komen een beetje schuin naar beneden lopen en aan de linkerkant zitten zo'n 
B: 	rechthoekig buis Buis ja vierkant buis en bovenop zitten twee klein buisjes 
A: 	ja 
B: 	o ja ja die zitten er ook ja 
A: 	dat ei 
A: 	ja precies dat zijn zes 
B: 	ok bij mij H dan moeten jij ja 
A: 	ik moeten dan drukken hè ? ja 
A: 	ja dit zijn dit zijn dat die emmer met dat ja met dat vierkant plateau zeggen maar in het midden en dan 
A: 	ja halverwege 
A: 	en dan zitten aan de voorkant zitten zo'n buis 
A: 	en op de bovenkant staan twee zo'n 
A: 	even zoeken 
B: 	o dat waarbij ik denken dat zijn een fabriek 
A: 	en de buis aan de 
A: 	ja dat zijn dertien 
B: 	o ja ja ja dat zijn bij mij C 
B: 	dit zijn waarvan ik denken een fabriek en jij een een meisje met een rok 
B: 	ja 
B: 	ok bij mij I 
A: 	dit zijn die emmer met dat vierkant halverwege zeggen maar in het midden en dan die 
A: 	ja zeggen maar die je hebben die emmer gewoon en dan hebben je dat ja dat vierkant plateau wat er gewoon dwars doorheen staan zeggen maar 
A: 	en dan die buis aan de voorkant en 
A: 	ja precies die 
B: 	o die die 
B: 	ok even kijken waar die nou o daar zijn hij J 
B: 	o dan moeten ik klikken 
A: 	ja precies 
A: 	wachten 
A: 	vierkant en die buis en die twee 
A: 	negen 
B: 	dit zijn weer dat meisje en de fabriek 
B: 	ok bij mij M 
A: 	ja dit zijn die emmer met dat plateau in het midden zeggen maar 
A: 	en die buis aan de voorkant 
A: 	en die twee dinget bovenop 
B: 	even kijken waar ze zijn o daar ze zijn dat gaan lekker ze slapen daarin bij mij zijn dat N 
