B: 	ja 
B: 	soort van hengel uitsteeksel 
B: 	p 
A: 	okeeen je hebben weer dat kopvormp 
A: 	erbovenop ja liggen een bal 
A: 	aan de rechtervoorkant beetje ja voorkant beetje veel naar rechts daar hebben je één ja een paal 
A: 	dus gewoon een ja nou een vierkant paal 
A: 	en erdoorheen 
A: 	ja 
A: 	ja er doorheen zitten een je weten wel zo'n ding van IKEA waar je je zo'n ding 
A: 	ja 
B: 	deze hebben we al hebben er zitten bovenop zitten er een bal 
B: 	aan beide kant komen er twee soort van handvaten uit 
B: 	en voorop zijn er een lang rechthoekig ding 
B: 	ja 
A: 	ja een balkachtig 
A: 	ja 
A: 	met een beetje zo'n aan de linkerkant een l-curve 
A: 	ja de IKEA-sleutel 
A: 	veertien 
B: 	ja 
B: 	J 
B: 	deze hebben een bal bovenop 
B: 	en twee handvat soort van die eruit komen 
B: 	en er zitten een staaf voorop 
B: 	ja J 
B: 	dit zijn die met die bal bovenop twee handvaten aan de aan de beide kant en een staaf voorop 
A: 	dit zijn die met een een bal erbovenop 
A: 	met erdoorheen zeggen maar die IKEA tang 
A: 	ja 
A: 	okee 
A: 	ja achten 
A: 	even kijken dit zijn die met de bal erbovenop en de IKEAsleutel erdoorheen 
A: 	yes tien 
