B: 	ok ja deze hebben aan de bovenkant een balk aan de linkerkant een beetje soort van 
B: 	ja tui of zo en aan de rechterkant ja zitten er ook een vlak en daar zitten dan nog weer een 
B: 	balk op hij zijn zeggen maar alles zitten wel heel dicht tegen het object aan 
B: 	ja liggen ja die zijn zeggen maar net iets klein dan dat rond ding zelf 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	een soort vleugel aan de zijkant ja 
A: 	zo'n soort neus of een bek en 
A: 	ja ja 
A: 	ik hebben ook zo'n associatie 
A: 	dat zijn acht 
B: 	een balk bovenop 
B: 	zijn hij zeggen maar die heel compact of niet ok 
B: 	zeggen maar die balk erop en aan de linkerkant hebben hij zoiets en aan de rechterkant en er zitten nog een staafje op 
B: 	ok dan zijn het E 
B: 	ok ja dit zijn die compacte met dat blok bovenop 
A: 	oké dit zijn die jij de vogel noemen en ik ja ik een beetje pinguïn want die hebben een beetje aan de zijkant van dat soort vleugelt en een raar bek 
B: 	ja 
B: 	dat zijn E 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja dat zijn één 
B: 	ok dit zijn die compact 
A: 	ander plek 
A: 	dit zijn de pinguïn of de vogel zeggen maar 
A: 	ja 
A: 	even kijken dat zijn zestien 
A: 	dit zijn de pinguïn of de vogel zeggen maar 
