A: 	oké 
A: 	en aan de onderkant hebben die nog een soort van ding 
B: 	oké 
B: 	ik hebben de rood dinge 
A: 	een 
B: 	ja 
A: 	ja 
A: 	oké 
B: 	er zijn linksbof nog een stuk van een half cirkel over 
A: 	oké 
A: 	ja ik denken dat ik hem hebben 
A: 	die cirkel die zien je zeggen maar half zo aan de achterkant plakken 
A: 	ja 
A: 	oké 
B: 	weten je dan welk ik bedoelen 
B: 	ja kloppen 
B: 	ja 
B: 	ja kloppen 
B: 	ja 
B: 	en nog een dinge link 
B: 	oké dat zijn bij mij O 
A: 	oké 
A: 	deze hebben we ook net al hebben die hebben zeggen maar dat ding zo eronderaan en dat pluimp rechtsboven uitsteken en die 
A: 	schijf aan de achterkant link tegenaan plakken en die zeshoek link uitsteken 
A: 	ja 
B: 	ja deze hebben weer zo'n half cirkel cirkel wat je nog zien en het staat op een soort voetstukje en link zo'n uitsteekseltje en 
B: 	ja 
A: 	ja 
A: 	ding zo 
A: 	doen me een beetje denken aan een keukenmachine of zo 
A: 	ja ? oké 
B: 	even zoeken hoor 
B: 	ja dat zijn bij mij C 
B: 	die met dat plateaut eronder en die half cirkel 
B: 	of ja dat voetstuk 
B: 	zeggen maar die half cirkel 
B: 	ja 
A: 	dit zijn zeggen maar die keukenmachine 
A: 	met rechts dat pluimp en links aan de zijkant steken die zeshoek uit en 
A: 	links aan de achterkant zijn die schijf tegenaan plakken en onderaan zitten dat ding zeggen maar 
B: 	ja dat zijn C 
A: 	even zoeken 
A: 	ja 
A: 	met dat dinge onderaan 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	dit zijn zeggen maar die keukenmachine 
A: 	met dat ding daaronder en die schijf aan de achterkant plakken 
