B: 	zijn lang dan de ander 
B: 	K 
A: 	oké 
A: 	deze hebben aan beide kant een soort stomp alsof die zijn arm uitstrekken of zo 
A: 	en aan de achterkant zitten nog een beetje een niet helemaal identificeerbaar figuur een soort vierkant met nog iets eraan 
A: 	ja linksachter hebben die iets zitten 
A: 	en dan staan die een beetje zo 
A: 	ja ja 
B: 	ja ik weten niet veel hoe jij het net beschrijven ik vinden het een soort van springplank die erachter zitten 
B: 	met twee van die ding die eruit steken met bollet aan de zijkant 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	ja 
B: 	F 
B: 	dit zijn weer met dat soort van springplank en die ding met die bollet aan de zijkant 
B: 	soort van potlood dat erdoorheen steken met twee bollet aan de uitein 
A: 	nu hebben ik weer met die twee knobbel met die rond ding aan het uitein daarvan 
A: 	ja die stomp 
B: 	ja 
B: 	L 
A: 	dat zijn nummer drie 
B: 	dit zijn weer dat dat klepje met die twee potlod met bollet eraan die er zo uit steken 
B: 	weten je welk ik bedoelen 
B: 	ja dat die een zijn lang dan de ander 
B: 	er steken twee ding uit aan de onderkant 
A: 	ik hebben met die armp met die knobbel eraan 
A: 	ja dit zijn de laat 
A: 	nummer vijf 
