A: 	ah 
A: 	ja en dan hebben die van die vierkant blok daarboven en zo 
A: 	ja 
A: 	ja 
A: 	wachten ik moeten hem doen vier 
B: 	nou dit lijken wel een beetje zeggen maar een poppe wat zo met de armp omhoog staan op een soort gedraaide draaideen balk 
B: 	het zijn een soort beker 
B: 	ja 
A: 	oké jij noemen het volgens mij als een beker dus aan de onderkant hebben je die driehoek dan hebben je die staaf naar boven en aan de zijkant die vierkant blok dus dat worden gewoon 
A: 	dat noemen we vanaf nu gewoon de beker of zo of 
B: 	Cup Cup 
B: 	ja en 
B: 	met een spiraal 
B: 	ja ja ja 
B: 	dat zijn A 
A: 	oké ja 
A: 	achten 
A: 	of wachten 
A: 	met de soort badkuipachtig aan de onderkant of wat 
A: 	ah die 
A: 	ja oké 
A: 	maar goed dat ik even dubbelcheckten dat zijn tien 
B: 	dit zijn zeggen maar de winnaarsbeker 
B: 	met dat gedraaide 
A: 	de ja het glas zeggen maar met dat statief onder dat vierkant statief 
A: 	driehoek ja Sorry 
B: 	de beker met de draaien 
B: 	dat zijn L 
A: 	driehoekstatief ja 
A: 	met de beker zeggen maar 
A: 	dat zijn vier 
A: 	de beker met het statief 
B: 	dit zijn de beker 
B: 	op die draaien ding 
B: 	dat zijn F 
