B: 	bal er bovenop o soort soort 
B: 	beetje zo dat dat hij zo staan bal bovenop en dan zo'n staaf aan de zijkant die er onder uit komen ja dan zijn het d 
A: 	ik hebben er nu één met zo'n staaf ervoor en zo'n bolle erop 
A: 	en twee ja je zullen je het kunnen zien als armp eigenlijk 
A: 	twee dinget aan de zijkant 
A: 	oké 
B: 	ja dit zijn weer die die bal die bovenop liggen met die met die staaf aan de zijkant die er onderin nog uitsteken 
B: 	aan die zijkant inderdaad die twee twee ding die afbuigen 
A: 	een bolle erop 
A: 	oké dat zijn nummer vijftien 
B: 	ja en die balk die dan zo ja dat zijn L 
B: 	ja dit zijn weer dat korfbal ding balle bovenop en met die balk ernaast 
A: 	die staaf ervoor dat bolle erop en die twee steeksel uit 
B: 	ja 
B: 	dit zijn J 
A: 	met die armp 
A: 	ja 
A: 	dat zijn nummer zes bij mij 
B: 	dit zijn weer die korfbal 
A: 	even kijken ik hebben er één met dat bolle erboven 
A: 	bij mij een beetje staan die rechts bedoelen ik juist met die staaf ervoor en die twee armp 
A: 	even kijken 
A: 	ja 
A: 	even kijken ja die staaf ervoor en die ding en dat bollet 
A: 	nummer drie 
