B: 	ja ja en dan zitten er nog een soort plateau bij of zo ja dat zijn dan L 
B: 	ja dit zijn eigenlijk diegene waarbij die spijker in dat uitsteeksel gaan met dat plateaut erbij 
B: 	je hebben zo'n ding en dat lijken zijn zeggen maar een een soort pacman of zo en daar gaan die spijker in 
B: 	ja 
A: 	ja want nu hebben ik dus degeen die heel raar op die plek zitten 
A: 	ja deze vinden ik ook best wel raar het zijn een soort van trechter zitten aan een reling vast en dat zitten dan weer aan het aan de basis vast 
A: 	en er zitten een soort van bijzettafeltje zitten eraan 
A: 	ja 
A: 	met zo'n staafje 
A: 	ja 
A: 	en dan links zijn het een soort van Bvormig reling 
A: 	ja 
A: 	dat zijn zeven 
B: 	ja dat zijn dan die omgekeerd eiffeltoren dat zijn dan C 
A: 	dit zijn weer met die Bvormig reling en die cirkelvormig bijzettafel 
B: 	ja dit zijn weer die pacman met die spijker en dat plateaut ernaast 
B: 	die omgekeerd Eiffeltoren 
B: 	ja 
B: 	ja hij hebben die die die omgekeerde die spijker of die spijker of zo die er die er in worden slaan die piramide Eiffeltoren plateau ja die 
A: 	ja dat zijn één 
B: 	ja ja dat zijn A 
A: 	dit zijn weer die Bvormig reling en dat bijzettafelt 
B: 	ja ik hebben nu die met die spijker die in die pacman of zo gaan en dan dat plateaut er nog naast 
A: 	houden vol 
A: 	dat zijn dertien 
