B: 	oké ik hebben een vierkant 
A: 	jij mogen beginnen 
B: 	ik vinden het lijken op een wc-borstel 
A: 	ja 
B: 	of een wc-pot met een borstel erin ik weten het niet 
A: 	ja 
B: 	en aan de linkerkant een uitstulping 
A: 	okee 
B: 	een staaf 
B: 	aan de rechterkant zitten niks 
B: 	en hij staan wel op een soort voet 
A: 	een plat schijf aan de achterkant 
B: 	ja 
A: 	ja zijn lijken die schijf een beetje op alsof er een citroen in zitten 
B: 	oké 
A: 	dus er zitten aan de rechterkant voor mij rechts zeggen maar een lepeltje dus voor jou ook rechts een steel daarvan daaronder zitten een balkje dat door het midden lopen maar wel van de heel een kant naar de heel ander kant een staaf aan de linkerkant en een soort citroenschijfje 
A: 	okee dan dan weten we het het zijn nummer twee 
A: 	dit zijn met die citroen en het spatel of het lepeltje erin en dat uitsteeksel en de en aan de onderkant staan die op een op een balkje 
B: 	ja 
B: 	ja en een rond 
B: 	de ander 
B: 	ja ja dat zijn hem ja 
B: 	I 
A: 	okee top 
A: 	okee negen 
B: 	next 
B: 	de wc-kop 
A: 	dit zijn die met het citroen en het lepel erin 
B: 	borstel 
B: 	op het plateau 
B: 	die even breed zijn als het kop zelf 
A: 	het uitsteekselt link 
B: 	ja ik zien het als een wc-borstel , zitten een borstel in 
B: 	zoals ik het zien , met een uh , met een voet 
B: 	die even breed zijn als de bak de kop zelf 
A: 	citroen zijn numero een 
A: 	dit zijn met het citroen en het lepel 
B: 	yes 
B: 	A 
B: 	wc-bak met één of een wc-borstel en een gelijk plateau die even breed zijn als het kop 
B: 	aan de linkerkant 
B: 	D 
