A: 	oké ik vinden deze heel leuk want ik noemen deze met de twee uitstekend tampon 
A: 	dus er zitten aan de bovenkant zitten zo'n fliebel en aan de linkerkant ook en dan zitten er aan de rechterkant zitten zo'n vierkant torendinge 
A: 	maar het veel opvallen zijn de de de aan de bovenkant en aan de linkervoorkant een soort van tamponvormig raketachtig dinget 
A: 	of misschien konijnenor 
A: 	ja achterkant ook nog een soort van staart of zo 
A: 	ja ja 
A: 	ja 
A: 	ja 
B: 	oké event kijken 
B: 	kunnen je nog iets veel beschrijven 
B: 	even 
B: 	plat kant 
B: 	nee ik denken dat ik dit heel anders hebben beschrijven toen 
B: 	even kijken 
B: 	welk vormp hebben die op zijn hoofd 
B: 	ja oké 
B: 	oké helemaal in het midden bovenop 
B: 	of niet 
B: 	ja en aan de zijkant zeggen maar zijn zo'n vierkant en dat gaan dan steeds klein zeggen maar 
B: 	ja 
B: 	E 
A: 	oké even zoeken 
A: 	dat zijn elf 
B: 	oké deze hebben zeggen maar Hierbovenop veel zo'n waterdruppel 
B: 	en aan de zijkant ook een waterdruppel 
B: 	ja 
A: 	dit zijn die met de tampon 
A: 	dat zijn negen 
B: 	even kijken 
B: 	ja met die hier en hier 
B: 	ja 
B: 	J 
B: 	die met die druppel hier en druppel hier en dan die blok zo aan de ander kant 
A: 	dit zijn die met de tampon 
A: 	vier 
B: 	ja 
B: 	even zoeken 
B: 	ja 
B: 	die druppel boven en aan de zijkant en aan de ander kant die blok 
