B: 	deze hebben een groot vierkant vlak aan de voorkant 
B: 	en een soort verrekijker link 
B: 	l 
A: 	ja 
A: 	dat zijn zes 
B: 	een verrekijker en het vierkant vlak 
B: 	h 
B: 	verrekijker link 
B: 	rechtervlak aan de voorkant 
A: 	deze hebben rechtsvoor een plateau 
A: 	een soort paddestoel op zijn hoofd 
A: 	jij zeggen het anders maar ja een soort speld 
A: 	en aan de linkerkant twee identiek uitstulping 
B: 	J 
A: 	dat zijn vier 
A: 	deze hebben een paddestoel op zijn hoofd en een scherm aan de voorkant en twee vierkant schroeven 
A: 	ja twaalf 
A: 	nou ja dit zijn met paddestoel op zijn hoofd 
A: 	het het lijken wel een robot 
A: 	ja 
A: 	ja 
