B: 	je hebben een bal voorop 
B: 	dan aan de zijkant een driehoektui 
B: 	en bovenop een rechthoekig handvat en een soort van penachtig iets 
A: 	even kijken horen 
A: 	aan de linkerkant een soort boek 
A: 	zitten daar een soort lepeltje erin 
A: 	of wat 
A: 	aan de bovenzijde van de beker laten maar zeggen 
A: 	wachten even zeggen maar zo'n soort ding aan de bovenzijde 
A: 	soort vulkaanachtig iets 
A: 	ik zien het niet 
A: 	ja hoe zien er het link uitsteeksel eruit 
A: 	wat aan de linkerzijde zitten 
A: 	even kijken 
A: 	een driehoek aan de linkerzijde 
A: 	het hebben niet zo'n soort antenne dat zijn niet wat je bedoelen 
A: 	en het hebben ook niet aan de onderzijde zo'n soort stroompje wat 
A: 	je bedoelen met dat opengeslagen boek zeggen maar dat dat zeggen maar dat handvaa van de linkerkant zijn 
A: 	zitten daar een soort ei daar rechts van 
A: 	en dan lijken het een soort kwastje en daarnaast nog een staafje 
A: 	wat daarin zitten 
A: 	okeeen ik zullen het even herhalen voor de duidelijkheid 
A: 	een beker met aan de rechterzijde een ei het opengeslagen boek links een soort roerstaafje daarin en daarnaast ook nog een streepje erin 
A: 	okee dan zijn het nummer vier 
B: 	ja g 
B: 	deze hebben een bal voorop 
B: 	twee uitsteeksel bovenop één zijn rechthoek en ander soort penachtig 
B: 	ja k 
B: 	deze hebben de bal voorop en een pen en dat rechthoekjeten Bovenin 
B: 	where did it go ja n 
A: 	dit zijn zeggen maar met zo'n soort mooi kwas erin 
A: 	en dan daarnaast ook nog een staafje erin met een ei aan de rechterzijde 
A: 	en met dat opengeslagen boek link 
A: 	ja dat zijn nummer vijf 
A: 	ei aan de rechterzijde 
A: 	soort mooi kwas in het beker staafje erin en opengeslagen boek 
A: 	link 
A: 	ja nummer achten 
A: 	mooi kwas met een staafje ernaast ei rechts en opengeslagen boek link 
