A: 	deze zijn een komme en er zitten onder ook een soort uitstulpsel het zijn niet echt een plank waar die op staat het zitten zo'n knik in het lopen zo 
B: 	dat zijn een plat vierkant 
B: 	het zijn geen kubus zegmaar 
B: 	ja ja 
A: 	en erbovenop zitten een draaien vierkant het zijn een soort ruitvorm maar dan wel een vierkant en er zitten een soort halter aan 
B: 	ja 
B: 	ik vinden het op een frankenstein lijken 
B: 	die zo met zijn arm voor zich uit lopen 
A: 	yes 
B: 	ik zien hem 
B: 	nummer J 
A: 	okee 
B: 	ja 
B: 	letter J trouwens 
A: 	ja 
A: 	vier kubus aan de 
A: 	zijn dat degeen met die halter 
A: 	ja nummer tien 
B: 	zijn Frankenstein 
B: 	duidelijk 
B: 	vierkant met twee pinn door zijn hoofd 
B: 	door zijn kop 
B: 	bovenop 
B: 	het kop 
B: 	dus je hebben het kop 
B: 	en dan hebben je een vierkant 
B: 	en aan weerszijde van het vierkant steken toren uit 
B: 	en het lijken alsof hij zo lopen 
B: 	in mijn fantasie 
B: 	dus hebben twee twee aan de zijkant ook twee twee arm uitsteken 
A: 	dit zijn met die halter en die die vierkant dat vierkant dat omdraaien 
B: 	volgens mij zijn het er twee tenminste 
A: 	okee 
B: 	moeten ik het nog anders omschrijven 
B: 	oké je hebben dat kop 
B: 	dat zijn de basis 
B: 	en onderin hangen een voe 
B: 	aan de rechterkant hangen twee uitstulping 
B: 	bovenop een vierkant met twee aan beide kant 
B: 	ja 
A: 	de halter met dat driehoekje dat kantelen zijn of dat rechthoek bedoelen bedoelen ik 
A: 	ja elf 
A: 	ja elf 
A: 	dit zijn met de halter met het omgekeerd vierkan 
A: 	de de halter met dat vierkan 
A: 	oké waar staan die waar staan die waar staan die 
A: 	zes 
B: 	rechterkant zitten twee uitsteeksel 
B: 	ja 
B: 	met die armp weer zo 
B: 	zijn J 
B: 	Frankenstein kop ik zien niks ander 
B: 	twee plank naast elkaar 
B: 	op de bovenkant 
B: 	met die staaf er doorheen 
B: 	ja F 
B: 	van Frankenstein 
B: 	Frankenstein 
