A: 	ja 
A: 	ja 
A: 	en zo'n antennetje erbovenop ja twee 
B: 	aan de voorkant zijn een heel groot vierkant vlak 
B: 	en aan de linkerkant twee soort blokkendooz die erin gaan 
B: 	ja 
B: 	ja ja 
B: 	iets futuristisch 
A: 	de verrekijker met de Antenne bovenop 
A: 	en de 
A: 	ja precies 
B: 	ja met twee twee blokkentorens aan de linkerkant 
B: 	dat zijn G 
A: 	negen 
B: 	dit zijn dat poppe met aan de linkerkant twee blokkentorens die het hoofd ingaan aan de voorkant een groot vierkant vak vlak 
B: 	ja zoiets 
A: 	de verrekijker 
B: 	ja dat zijn D 
A: 	verrekijker waar staan je ? dat zijn één 
B: 	dit zijn met ja het volgens mij noemen we het ruimteschip met de twee blokkending die erin gaan 
A: 	verrekijker 
A: 	ja 
B: 	met voor een vierkant vlak 
B: 	dat zijn B 
