A: 	zitten een lang staaf aan de voorkant van het kop naar beneden 
A: 	en aan de erop zitten een rond bol 
A: 	en aan de zijkant twee armp 
A: 	ja 
B: 	rechtsvoor zeggen maar 
B: 	ja 
B: 	ja aan de links en de rechterkant zeggen maar 
B: 	ja volgens mij zijn dat even kijken 
B: 	ja dat zijn er maar één 
B: 	dat dat zijn bij mij b 
A: 	ja en aan de zijkant twee armp 
A: 	ja 
A: 	twee 
B: 	hee ze veranderen van plek 
B: 	dan zitten we in de twee ronde waarschijnlijk 
B: 	okee 
B: 	ze zijn nog hetzelfde ja 
B: 	deze hebben een een bol bovenop 
B: 	en bovenop het kop zeggen maar 
B: 	en daarvoor staan een staaf en links en rechts nog staaf 
B: 	rond staafjes 
A: 	een dik lang staaf aan de voorkant 
A: 	een bol bovenop 
A: 	en twee armp aan de zijkant 
B: 	ja dat zijn j 
A: 	armpjes 
A: 	ja 
B: 	de de bol bovenop en de staaf rechtsvoor 
A: 	vier 
B: 	ja dat zijn p 
A: 	lang staaf aan de voorkant met de bol aan de bovenkant en twee van die dun armpjes aan de zijkant 
A: 	ja 
B: 	de bal bovenop en de staaf rechtsvoor 
A: 	twee 
A: 	zestien 
