B: 	en dit zijn ja zitten weer vier ding aan , dat zijn best wel vaak waaronder een ei 
B: 	aan de voorkant 
B: 	en een penseel of iets wat zitten erin 
A: 	okee 
B: 	en nog een staafje zitten erin 
B: 	en aan de linkerkant zitten nog een staafje 
B: 	dus aan de buitenkant hebben je een ei en een staaf 
A: 	nee 
B: 	oké 
A: 	ja 
A: 	ja het zijn een soort pipet dinge toch 
A: 	ja 
A: 	dertien zijn het dan 
A: 	deze zijn met dat ei helemaal voorin en er zitten twee staaf in de één zijn met dat pipetvormpje weer 
B: 	dat zijn F 
A: 	okee 
A: 	ja twee 
A: 	dit zijn met de met het ei aan de voorkant en met dat pipetvormp 
A: 	dat zijn nummer acht 
B: 	bak met aan de voorkant een ei 
B: 	en een penceel die erin liggen 
B: 	niet te verwarren met het ander kop waar ook een ei op de voorkant zitten , met de zuignap 
A: 	dit zijn met de pipet en het ei aan de voorkant 
B: 	dat zijn hem niet 
B: 	maar de ander 
B: 	J 
B: 	bak met penceel en nog een stok erin en een ei aan de rechterkant 
B: 	G 
