B: 	oké 
B: 	zulk balk 
B: 	oké 
B: 	dus links en bovenop zitten zo'n 
B: 	ja een toren 
B: 	oké dan zijn het I 
B: 	I 
A: 	okee wel ja 
A: 	je kennen de zeppelinfiguur wel 
A: 	er steken er één aan de bovenkant uit en één een beetje link naar voren 
A: 	aan de rechterkant hebben je vanaf het kop een klein vierkan nog een groot vierkantje nog een groot vierkantje die zo uitsteken 
A: 	ja precies maar dan worden die steeds groot 
A: 	en dan ergens linksachter nog een raar uitsteekselt 
A: 	ook een soort cilindervormpje 
A: 	dus ja 
A: 	beetje een idee 
A: 	okee 
B: 	dit zijn volgens mij wat jij noemen een propeller met een toren 
B: 	ja 
B: 	volgens mij een propeller met links en boven hem zien je de propeller 
A: 	nieuw ronde 
A: 	ja 
A: 	ja 
A: 	ja en dan rechts die legoblokjes die steeds groot worden en dan achteraan nog een een gek uitsteekselt 
A: 	ja 
A: 	dan gaan ik voor nummer zeven 
B: 	ja 
B: 	ja 
B: 	propeller D 
B: 	denken ik 
B: 	propellerkop 
B: 	boven en link de propeller , rechts de toren 
B: 	en nog een uitsteeksel 
B: 	tussen de twee propellert in 
B: 	ja dat zijn een kop met ja oké jij zeggen het zo 
B: 	zo er bovenop 
A: 	okee dit zijn ja dit zijn het kop met de twee zeppelinfiguren één aan de bovenkant één beetje link naar voren 
B: 	en zo aan de zijkant 
B: 	en rechts vierkant 
B: 	ja maar ze hebben wel een ander vorm 
A: 	aan de rechterkant weer die legoblokjes die uitsteken en linksachter een beetje zo'n gek staart 
A: 	ja 
A: 	ja nummer vijf 
B: 	dat zijn B 
B: 	de propeller links en boven 
B: 	en rechts de toren 
A: 	dit zijn die een met die zeppelinfiguren bovenkant en linksvoor 
A: 	rechts de legoblokjes die uitsteken en dat raar ding 
A: 	ja nummer zeven 
