A: 	dit zijn een koffiemok waar een balle in drijven 
A: 	link Bovenin 
A: 	nee er gebeuren wel veel maar dat zijn eigenlijk de enig vorm waarbij dat specifiek zijn 
A: 	er zitten ook nog twee hengsel één links één rechts en een 
A: 	rechthoek voor 
A: 	ja 
B: 	yes 
B: 	ja en zijn een beetje zo'n 
B: 	nou het hebben een eihoofd en twee klein armp echt heel dun armpjes 
B: 	ja jajaja nee niet die met het platvorm nee ok d 
A: 	ja 
A: 	nummer vijftien 
B: 	o ja 
B: 	o zijn verplaatsen 
B: 	even kijken o dit zijn zeggen maar het het dik man met een vierkant staaf er aan dus met zijn arm een beetje pinguïn achtig 
B: 	ja ja we nu komen ze weer allemaal opnieuw 
B: 	inderdaad o zo jajajaja inderdaad met de balk ja 
B: 	L 
A: 	dit zijn de de koffiebeker of nou ja met het ballet wat link bovenin drijven 
A: 	en aan de voorkant hebben je een rechthoekig pilaar en aan de zijkant twee ronde 
A: 	oké 
B: 	dan macho man met een met een pilaar blok 
A: 	ja 
A: 	nummer zes 
B: 	die kerel J 
A: 	dit zijn de koffiemok waar linksbof een balle in drijven 
A: 	en ervoor een rechthoekig blok naar beneden lopen en aan de linker en rechterkant armp 
B: 	macho 
A: 	ja 
A: 	nummer drie 
