A: 	ok 
A: 	ok ja deze doen me niet per se aan iets denken of zo dus ik gaan hem gewoon omschrijven die hebben aan de voorkant een 
A: 	best wel lang rechthoekig balk en aan de twee zijkant een soort rond uitsteek aan allebei te kant en op de bovenkant een rond 
A: 	Bolpuntcom man ja ik snapen wel wat je bedoelen 
A: 	ok ja 
A: 	ok bij mij zeven 
B: 	ik noemen het de olifantenslurf met arm 
B: 	zitten een rond bolle erop 
B: 	ja en twee armp of twee stijfjes inderdaad die zo zitten en dan 
B: 	ja 
B: 	dan zijn het geel 
B: 	D zijn het 
B: 	excuus d nu dit 
B: 	ik denken dat ik hem moeten indrukken sorry 
A: 	o 
A: 	en dat bolle op zijn hoofd toch ? ja ok bij mij zijn dat vijftien 
A: 	ok 
B: 	nou zijn ze allemaal weer veranderen dit worden leuk 
B: 	we hebben het hier over zeggen maar jou loodgieter jou 
B: 	waterboiler zeggen maar dus dat er iets in gaan en aan de ander kant er weer uit en een soort van tap aan de onderkant ik noemen het de olifant met de slurf en gek armpje er zitten een bolle erbovenop 
B: 	ja 
B: 	ja helemaal ja 
A: 	dit zijn wat zeggen je hier ook alweer hier over ? Bolpuntcom man 
A: 	ja even om zeker te zijn dat ik wel de goed hebben die een met die pilaar hier zo en dan het hoofd en die armp zo ja bij mij ok ja bij mij zijn dat twee 
A: 	ja maken ook eigenlijk niet uit gaan er om dat ze op dezelfde plek staan maakt niet uit hoe je het uitleggen 
A: 	ja zijn zes 
B: 	ja 
B: 	mijn olifant toch ? met dat rond erbovenop 
B: 	dan gaan het om L 
A: 	ja 
A: 	dit zijn het Bolpuntcom 
A: 	ja vijftien bij mij 
B: 	dit zijn de boiler zeggen maar met de pijp en de tap 
B: 	ik noemen het de olifant 
A: 	ja even zoeken zijn drie bij mij 
B: 	ja dat worden dan J 
B: 	dit gaan om de waterpijp met de slurf 
B: 	en het gek bolle erboven 
B: 	de waterboiler zeggen maar ja 
