A: 	ja 
A: 	ja en zo'n plat rond ding aan de voorkant 
A: 	ja oké dan zijn het vijf 
B: 	ja eigenlijk deze hebben zeggen maar twee van die uitsteeksel eigenlijk een beetje Pippi Langkousvlechten 
B: 	en dan een ronde ja plaat daarvoor 
B: 	en zeggen maar het staan ook op een plaat 
B: 	en aan de achterkant staan zeggen maar nog twee bog 
B: 	ja ja ja 
A: 	dit zijn die met die drie bollet aan allebei de kant die op zo'n ding staan 
A: 	ja 
A: 	en dat plat ding aan de voorkant 
A: 	ja oké dat zijn elf 
B: 	ah ja 
B: 	J 
A: 	ik hebben die met die drie bollet aan allebei de zijkant en die ding eronder 
A: 	ja 
A: 	en dat ding waar die op staan 
A: 	ja dat zijn negen 
B: 	dit zijn die Pippi Langkous 
A: 	dit zijn die met die drie bollet aan allebei de kant 
A: 	en dat plat ding voor 
B: 	ja 
B: 	ja 
B: 	P 
B: 	Pippi Langkous 
B: 	L 
