A: 	er zitten best wel een groot staaf doorheen met twee rond vlak aan de uitein 
A: 	gaan recht door het beker heen 
A: 	de een kant zijn kort en de een kant zijn lang 
B: 	nog 
A: 	ja het zijn een beetje een rond rond vorm 
A: 	rond staaf met twee rond vlak daarnaast 
A: 	en als je daarnaar kijken zitten zijn één kant kort en één kant zijn lang 
B: 	ja ja dan weten ik welk je bedoelen ja 
A: 	en er komen ook een vierkant uit 
B: 	dat zijn K 
A: 	uit de bovenkant schuin 
A: 	schuin 
A: 	maar het belangrijk zijn dus het Ronde gaan dwars door de achterkant van de beker heen het zijn een rond vormp 
A: 	met twee afgeron vak 
A: 	twee rond er aan de uitein ervan 
A: 	ja twee knobbelt 
B: 	dit zijn diegene met die balk er helemaal doorheen 
B: 	en waarbij een vierkantje nog zo schuin achter eruit steken en ook nog een soort 
B: 	slangetje of buisje uit dat vierkan komen 
A: 	ja 
A: 	ja dat zijn 
A: 	dat zijn negen 
B: 	ja 
B: 	dat zijn F 
A: 	weer met die twee bollet aan de uitein van de cilinder eigenlijk 
A: 	dus 
A: 	ja die stompe bollet 
A: 	en hij 
A: 	ja 
A: 	ja en het zijn letter 
A: 	ja 
A: 	ja 
B: 	dit zijn die waar zo'n balk helemaal doorheen zitten en een vierkant uit steken met weer zo'n 
B: 	ja en 
B: 	ja 
B: 	ik denken hierbij een beetje aan een zwaard om het de volgen keer makkelijk te maken 
A: 	ah die 
A: 	even kijken waar zien ik die 
A: 	dat zijn drie 
B: 	ja dat zijn L 
B: 	dit zijn het zwaard 
A: 	oké 
A: 	het mokje zelf 
A: 	eromheen ja oké 
A: 	maar hij staan bij mij staan die niet goed hoor 
A: 	en ander anders zijn het fout nou ja ja gewoon de balk die erdoorheen gaan met de twee knop bollet eraan 
A: 	ja 
A: 	ja 
A: 	oké even kijken horen 
A: 	nou eindelijk hoelang duren het nu al 
A: 	ja dat zijn vijf 
A: 	ja 
