B: 	ja 
B: 	ja 
B: 	ja f 
A: 	okee dit zijn ook weer het kop en hebben een neus en die hebben iets door zijn neus heen 
A: 	en het lijken op een spijker maar dan zitten er geen punt zijn geen puntig spijker 
A: 	en hij hebben een klein kuifje achter 
A: 	dus zo een neus 
A: 	en dan iets erdoorheen zo 
A: 	en aan de rechterkant hebben hij dus aan dat ding dat erdoorheen zitten zitten zo'n rond 
A: 	ja 
A: 	ja een kuifje 
B: 	deze hebben zo'n bal voorop en er zitten een staaf in het lijken een beetje op de neus van een helikopter 
B: 	en aan de een kant van de staaf zijn een cirkel 
B: 	en bovenop de emmer zijn een soort van lepeltje handvaa 
A: 	ah 
A: 	waar zitten die 
A: 	ja ja die hebben zo'n klein 
A: 	dat zijn nummer tien 
B: 	ja o 
B: 	deze zijn de helikopter 
A: 	deze hebben een spijker door zijn neus 
A: 	niet een echt spijker 
A: 	door zijn neus heen 
A: 	daar zitten hij nummer negen 
B: 	ja d 
A: 	deze hebben de spijker door zijn neus 
B: 	dit zijn die helikopter 
A: 	dat zijn nummer zeven 
