B: 	ja 
B: 	ja ik weten hem 
B: 	o 
A: 	oké nou deze hebben twee van die raar net iets dikk worden , aan het uitein weer weinig dik worden , aan de bovenkant en aan de linkerkant schuin zijkant 
A: 	en aan de rechterkant hebben hij zo'n soort van kubus drie het lijken of dat dat er zegmaar zo'n kubus die steeds groot worden 
A: 	ja precies 
B: 	okee bovenop zitten een het aan de rechterkant zitten die blok die steeds groot worden 
B: 	waar je het daarstraks over hebben 
B: 	en dan bovenop zitten dan zo'n langwerpig voorwerp en aan de 
B: 	ja wat rond worden en aan de voorkant ook 
B: 	ja ja 
A: 	oké 
A: 	vierkant uitschuifblok 
A: 	ja de die ja dat dat die met die 
A: 	ja ja ja dat zijn zes 
A: 	die ja 
B: 	ja 
B: 	ja ja c 
B: 	ik met die aan de rechterkant van die dos die steeds groot worden 
B: 	en dan bovenop zo zo'n ding dat steeds rond worden 
B: 	en aan de voorkant ook 
B: 	en aan de zijkant ook ja 
A: 	oké ja dit zijn weer met twee van die hendel aan de bovenkant en de zijkant 
A: 	en dan zo'n kubus dat groot worden 
A: 	aan de rechterkant 
A: 	ja 
A: 	uitschuiven ja die ja 
A: 	dat zijn veertien 
B: 	ja ja 
B: 	d 
B: 	ik hebben dat doos aan de rechterkant die steeds groot worden en dan dat die twee 
B: 	daarbovenop zitten zo'n ding dat dat steeds rond worden aan de linkerkant ook 
A: 	deze zijn weer met die twee handvaet boven en onder en die kubus die groot worden 
A: 	en de kubus ja 
A: 	oké ja zeven 
