A: 	met een 
A: 	ja 
A: 	ja en een driehoek onder die onder die staaf 
A: 	ja 
A: 	vijfteen 
B: 	deze hebben aan de onderkant een soort van draaien staaf en hij staan op een driehoek 
B: 	en dan bovenop nog een vierkantje rechts een vierkan en nog een raar figuur aan de linkerkant zeggen maar 
A: 	deze staat op weer op zo'n plateaut met die wat een beetje op een ijsje lijken en dan een driehoek eronder 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij à 
A: 	dat 
A: 	ja ja 
A: 	ja 
A: 	zeven 
B: 	dit zijn de draaien staaf naar beneden met de driehoek aan de onderkant 
B: 	ja waar zijn die waar zijn die daar ja dat zijn f 
A: 	die met die swirl dinge aan de onderkant zeggen maar dat of die driehoek met die drie 
A: 	ja 
B: 	de draaien staaf naar de onderkant en de driehoek waar die op staan 
A: 	die swirl dinge 
A: 	ja 
A: 	zes 
B: 	ja dat zijn à 
A: 	dat swirl dinge met die drie ding bovenop 
