B: 	ja 
B: 	ja ik weten welk het zijn 
B: 	dat zijn deze 
B: 	moeten ik hem zeggen toch ? en dan op geel 
B: 	dat zijn F 
A: 	oké ik zullen proberen met het in een gezichtsvorm te praten 
A: 	hij hebben een beetje zo'n eineus 
A: 	snapen je dan wat ik bedoelen 
A: 	oké daar zijn er dus twee van over 
A: 	en die van mij hebben dan eigenlijk zo ook zo'n klein sprie als net 
A: 	niet dus niet twee 
A: 	ja 
A: 	oké 
A: 	ja 
A: 	ja en dat pluimp bovenin 
A: 	ja 
A: 	oké dat zijn vijf 
B: 	dit zijn die met die piercing door zijn neus 
B: 	dat kommet met die piercing ja 
B: 	ja 
B: 	dit zijn A 
A: 	ik hebben weer een eineus 
A: 	maar dan met die balk door zijn neus 
B: 	dit zijn die neuspiercing 
A: 	ja 
A: 	ja en het pluimp 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	kijken dit zijn h 
A: 	ik hebben weer dat eineusding met een zo'n zo'n paal door de neus 
B: 	dit zijn de neuspiercing 
A: 	ja 
A: 	oké dat zijn nummer vijftien 
