A: 	dit plaat vinden ik een beetje dit plaat hebben aan beide kant uitsteeksel een soort van arm en aan de bovenkant een bolle wat een soort van hoofd lijken 
A: 	en aan de voorkant een soort paal 
A: 	ja 
A: 	ja 
A: 	daar komen het eigenlijk wel op neer 
B: 	zijn het d 
B: 	ja bij mij heten die d dus 
A: 	ja moeten ik wel even vinden 
A: 	ja 
A: 	nummer vijftien 
B: 	oké 
B: 	nou 
B: 	nu hebben we weer een kop 
B: 	het ballet zitten erbovenop 
B: 	met die twee armp die eruit staken en die balk ervoor 
B: 	met het balle erop 
B: 	ja 
B: 	oké 
A: 	dit zijn dat dik man met die stok in zijn rug 
B: 	oké dat zijn L 
A: 	dat zijn zes 
B: 	het zijn weer het bolle aan de bovenkant 
B: 	met de twee armp en de balk ervoor 
A: 	dit zijn het dik man met de pilaar 
B: 	zijn J 
A: 	ja nummer drie 
B: 	twee armp ballet en de balk ervoor 
B: 	en het balle erop 
