A: 	die van mij zijn een soort van aan de linkerkant lopen die eigenlijk een beetje bol maar die hebben een soort inkeping zo 
A: 	en het zijn eigenlijk een rond en je zien dan twee schaduw daarbovenop steken er iets uit dat zijn een soort ja ja soort schoorsteenachtig weten je wel die smal afloopt en dan rechts een plateau dat rond zijn 
A: 	okee 
B: 	ja 
B: 	een beetje rond plank of niet dan 
B: 	dat zijn L 
A: 	nu gaan gaan het als een trein 
A: 	ja ja met dat plateaut met dat rond 
A: 	zestien 
B: 	worden hier goed in 
B: 	een kop met aan de linkerkant een balk waar een spijker uitsteken 
B: 	op zijn timmeren 
B: 	en een rond plateaut 
B: 	aan de ander kant 
A: 	ik hebben nu diegene met die schoorsteen die aflooppen met dat plateau met dat rond en dat die vorm met die inkeping 
A: 	de 
A: 	ja 
A: 	nummer zes 
B: 	H 
A: 	dit zijn met het schoorsteen en de inkeping en de en het rond plateautje rechts 
A: 	met de schoorsteen 
A: 	achten 
B: 	kop met aan de linkerkant een staaf met een spijker of jij noemen het net iets ander 
B: 	ik weten niet veel wat je zeggen 
B: 	ja 
B: 	en aan de rechterkant een rond plateaut 
B: 	A 
B: 	met 
B: 	ik hebben net de verkeerd kiezen 
B: 	links de link namelijk de pilaar met een spijker eruit , rechts een rond plateaut 
