B: 	ok 
B: 	ja 
B: 	ik zullen deze omschrijven als een soort beker met een wafel er in 
B: 	ja soort schijf die die zegmaar in zitten 
B: 	ah ja met een soort ja 
B: 	ja ja met zo'n lepel er bovenin en nog er onder een soort iets ja een beetje plat ja 
B: 	ok 
B: 	nee dan moeten je dus eerst zeggen welk welk nummer erbij staan 
B: 	en dan kunnen je op de knop drukken 
A: 	ja 
A: 	dat zijn hier nummer dertien 
A: 	dit zijn de koffiemok die rechtsboven een lepeltje hebben dat uitsteken 
A: 	hij staan op een klein balk 
A: 	en 
A: 	ja 
B: 	met het citroen er in lepel O 
B: 	o ok nu krijgen we ze nog een keer opnieuw ik hebben ijsthee 
B: 	dus met die ja 
A: 	oké 
A: 	ja 
A: 	en hij hebben links één handvat 
A: 	en rechtsboven een lepeltje 
A: 	ja nummer achten 
B: 	ja 
B: 	even kijken ja C 
A: 	dit zijn de mok die op een plateau staan 
A: 	die waar rechtsboven een lepel uit steken en aan de linkerkant een handvat zitten 
A: 	en aan de achterkant een rond 
B: 	ijsthee 
A: 	top 
A: 	ja 
A: 	een lepeltje rechtsboven 
A: 	ja 
A: 	nummer zeven zijn dat 
B: 	C 
B: 	yes o mijn been 
B: 	Hallo 
A: 	dit zijn de mok die op een klein blok staan 
A: 	waar rechtsboven een koffielepel uit komen 
A: 	op links een een een handvat en daarachter een cirkel 
A: 	oké 
A: 	Hallo 
