A: 	okee 
B: 	M M M M M ja 
A: 	okee 
B: 	oké deze zijn complex er zitten wel vier of vijf dinget aan de komen kop 
A: 	ja soort glijbaanachtig iets 
A: 	ja 
B: 	waaronder hij zijn omringen door een plateau een vierkant plateau 
A: 	ja 
A: 	ja 
A: 	ja een soort pijp 
B: 	ja 
A: 	ja link okee ja nee dan weten ik het acht 
A: 	dat zijn acht 
B: 	oké 
A: 	dit zijn met het plateau aan de onderkant en de met die glijbaan zo en die pijp aan de linkerkant en die twee dinge die daaruit steken bovenin 
A: 	okee 
A: 	okee 
A: 	glijbaan oor 
A: 	ja met die plateau er aan de onderkant 
A: 	vijfteen 
B: 	ja 
B: 	dat zijn B 
A: 	deze hebben de glijbaan en het plateau dat aan de onderkant zitten die twee uitsteeksel en die pijp 
A: 	ja 
B: 	een bak met een plateau om zich heen bouwen 
B: 	en met twee uitstulpink op de op zijn hoofd 
A: 	glijbaan en konijnenoortjes even kijken horen 
A: 	zestien 
A: 	dit zijn de glijbaan de pijp en de en het en het vlak dat erdoorheen zitten 
B: 	C 
B: 	kop doorboren door een plank 
B: 	en twee 
B: 	ding op zijn kop 
B: 	ja 
B: 	waar zitten hij 
B: 	I 
