A: 	nou we hebben weer de hoofdvorm die hebben een soort van ja wat jij noemen een yoghurtbakje op zijn kop op zijn hoofd 
A: 	op de bovenkant 
A: 	en aan de rechterkant hebben je twee uitstekend staaf 
A: 	plat staaf 
A: 	en aan de voorkant hebben je ja een soort van neusje 
A: 	ook een een staafje die uitsteekken en linksonder hebben je nog klein bak die op zijn kop liggen 
B: 	ah ja 
B: 	wachten die post it 
B: 	zijn het soort van zullen je het ook kunnen omschrijven als dat er een tipitent op staat 
B: 	half tipitent en dan 
B: 	zonder top 
B: 	ja en aan de rechterkant twee ding 
A: 	ook een yoghurtbakje maar dan klein 
B: 	ja lijken een beetje op een stopcontact 
A: 	ja 
A: 	nummer veertien 
B: 	zullen kunnen 
B: 	zo'n stekker 
B: 	okee 
B: 	ja 
B: 	ja okee 
B: 	dan zijn het c 
A: 	dit zijn de hoofdvorm met twee uitsteeksel aan de rechterkant 
A: 	allebei twee vierkant staafjes met een yoghurtbeker op de hoofdvorm en linksonder een klein yoghurtbeker op zijn kop 
A: 	ja 
A: 	ja nummer vijfteen 
B: 	dit zijn het stopcontactding met de half tipitent of de vulkaan 
A: 	dit zijn de hoofdvorm met het yoghurtbak erop op zijn kop linksvoor hebben je ook een yoghurtbakje en hij hebben twee uitsteeksel aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	dat zijn e 
A: 	ja nummer achten 
B: 	ja de half tipitent met de twee post its 
B: 	ja 
B: 	dat zijn d 
B: 	de half tipitent met de post its 
