B: 	ja 
B: 	oké 
B: 	oké het zijn een komme en daarachter zitten een cirkel aan vastgeplakt 
B: 	en dan een steel aan de zijkant en aan de bovenkant ook één 
B: 	een tuu 
B: 	ja ja zeker 
B: 	ja 
A: 	jij hebben het vierkan 
A: 	denken ja 
A: 	ja 
A: 	ja 
A: 	en het isteken 
A: 	ja ik ik hebben het op een ander manier omschrijven 
A: 	twee van die balk aan de 
A: 	denken het niet dan 
A: 	nee 
A: 	ja 
A: 	en hij hebben ook nog een een beetje een balk zo aan de zijkant 
A: 	kloppen dat 
A: 	oké je hebben een ander 
A: 	ik hebben ze echt heel anders beschrijven 
A: 	een sprie op zijn hoofd hebben die 
A: 	en hebben die hebben die twee armp zeggen maar 
A: 	of wat wat zijn dat ? oor 
A: 	oké 
A: 	ja en hij hebben een sprie en hij hebben maar hij hebben ook aan de onderkant hebben die wat extra toch 
A: 	ja 
A: 	ja oké ik hebben hem 
A: 	ja 
A: 	ja 
A: 	dertien 
A: 	ik hebben nu een kop ik zien het als een kop steeds met een half rond cirkel aan de bovenkant 
A: 	en een soort ja een pluimp ook weer wat erboven uitsteken 
A: 	ja dat zijn die één van jou ja trouwens ja 
B: 	ja 
B: 	dat zijn O 
A: 	ja 
A: 	ja 
A: 	ja ja die je als één hebben 
A: 	ja ja 
A: 	oké dat zijn nummer acht 
B: 	dit zijn beetje die pinokkio 
B: 	met dat rond achterop 
B: 	zeggen maar de die cirkel achterop 
B: 	ja 
B: 	ja 
B: 	dit zijn C 
B: 	dit zijn pinokkio 
A: 	ik hebben diegene met dat half rond erbovenuit steken en zo'n pluimp 
B: 	even ja dat zijn C 
A: 	ja oké 
A: 	zeven 
A: 	oké ik hebben dat ding met een half cirkel erbovenuit 
A: 	Hallo 
A: 	ja 
