A: 	een kop met een balle erop zijn eigenlijk de enig met een balle aan de bovenkant 
A: 	ja echt één rond ballet eigenlijk en je zien hem niet helemaal 
A: 	en voor de rest zitten er een staafje voor het kop 
A: 	en aan de beide kant zitten er een soort 
A: 	hebben je hem 
B: 	ja 
B: 	okee en aan de zijkant hebben je nog iets aan de zijkant zitten 
B: 	ja ja dan weten ik 
B: 	dan zijn het n 
A: 	ja 
A: 	oké en hebben hij ook aan links en rechts een soort uitstulpsel 
A: 	oké nummer vijfteen 
B: 	deze hebben een aan de voorkant een vrij groot rechthoekig staand vlak 
B: 	ongeveer zo groot 
B: 	en er zitten een kegel bovenop 
B: 	en aan de zijkant hebben je zo'n ja ook een kegel die wat kromm lopen 
B: 	aan de linkerkant 
B: 	kunnen je die er zijn niet in ieder geval niet heel veel object waarbij een één kegel of de sorry een bal op de op de op het voorwerp zelf liggen 
B: 	op dat 
B: 	ja liggen een bal op dat op dat basic 
B: 	ding 
B: 	een 
B: 	okee en dan dan hebben je dus aan de voorkant een daar zien ik er ook niet heel veel van een zo'n groot blok 
B: 	zien je 
B: 	ja precies 
B: 	zitten twee hendel aan de zijkant 
B: 	ja 
A: 	oké dit hebben een balle bovenop als enig 
A: 	en het een staaf die recht naar beneden lopen , een heel groot staaf 
A: 	oké nummer twaalf 
B: 	ja 
B: 	ja dat zijn h 
A: 	een balle bovenop en een best wel lang staaf 
B: 	dit zijn met een bal bovenop 
B: 	en de in ieder geval een rechthoek voor 
A: 	die recht staaf met 
A: 	oké 
A: 	nummer vijfteen 
B: 	ja precies die staan er los voor toch 
B: 	ja 
B: 	dat zijn c 
B: 	dit zijn met een bal bovenop en daarvoor hebben je een groot 
B: 	ja 
