A: 	ik denken dat jij het vierkant hebben 
A: 	ik willen zeggen ik hebben er geen 
A: 	een tuu 
A: 	ja ik hebben het omschrijven als een pinokkio 
A: 	zien het er voor jou zo ook uit 
A: 	ja 
A: 	ja dat zijn voor mij nummer dertien 
A: 	dus dan ja dan zeggen ik dertien en dan druk ik op geel 
B: 	oké 
B: 	ik hebben het laat zin nog niet lezen 
B: 	toen gaan die al ver dus we mogen dus praten 
B: 	nee 
B: 	nee ver zijn het duidelijk 
B: 	oké ik hebben dus het rood vierkantje 
B: 	ja 
B: 	dus ik moeten dan dus nu aan je uitleggen waar wat het figuur zijn en jij gaan raden 
B: 	even kijken het hebben een een rond aan de achterkant je hebben natuurlijk het lijken allemaal op kop en het hebben een rond aan de achterkant en een 
B: 	steel aan de rechterkant die de ver boven uitsteken 
B: 	ja ja om het helemaal af te losmaken aan de linkerkant een soort handvat en aan de onderkant een soort van voetje waar die op staan 
B: 	ja 
B: 	ja 
B: 	dat zijn dus O voor mij 
A: 	dit zijn weer dat Pinokkiogezicht 
A: 	dus met die lang neus rond schijf aan de zijkant achterin 
A: 	en dan nog een pluk omhoog 
B: 	even kijken dit zijn wederom het figuur met het rond 
B: 	aan de achterkant en het lepel dat aan de bovenkant uitsteken met het voe eronder 
A: 	ja 
A: 	die Ronde schijf ja 
A: 	en dan nog die dat pluk voorop 
A: 	dat zijn achten bij mij 
B: 	soort voe 
B: 	dat zijn C voor mij 
B: 	dit zijn weer met dat rond plaat aan de achterkant en het voe met het lepel dat aan de bovenkant uitsteken 
A: 	dit zijn pinokkio 
A: 	dus met de rond schijf een beetje aan de achterkant 
A: 	tentakel omhoog en de 
A: 	pinokkio die zien ik ja 
A: 	dat zijn nummer zeven 
B: 	dat zijn C 
B: 	ah kijken 
A: 	dit zijn de Pinokkio 
