B: 	ja 
B: 	en aan de zijkant een soort van Schroevendraaier aan 
B: 	ja 
B: 	nummer J 
B: 	niet nummer J letter J 
B: 	ik hebben die met die echt piramide op het hoofd 
B: 	en dan zo'n raar dinge 
B: 	ja 
A: 	oké deze hebben een één zeggen maar een soort van piramide aan de bovenkant staan 
A: 	aan de rechterkant ja steken een best wel groot hoekig voorwerp uit 
A: 	aan de linkerkant ja steken ook iets uit wat zeggen maar groot worden naarmate het ver weg zijn van het ding 
A: 	en aan de linkerkant onder zitten ook een soort van cirkeltje eronder 
A: 	oké 
B: 	en dat raar blok 
B: 	E 
B: 	met die dat piramide op zijn hoofd en dat raar ding aan de voorkant 
A: 	ja 
A: 	ja precies dat zijn zes voor mij 
B: 	G 
A: 	oké deze hebben de piramide aan de bovenkant 
A: 	rechts hebben die dat groot blok en links inderdaad hoe noemen je dat ? dat kijken 
A: 	een verrekijker dat zijn het 
A: 	yes 
B: 	dat piramide 
B: 	met dat raar blok 
B: 	ja 
A: 	even kijken waar staan die 
A: 	ja met de piramide zeggen maar 
A: 	ja oké tien 
A: 	oké dit zijn weer de piramide erop 
A: 	en de uitkijk verrekijker 
A: 	yes 
A: 	ja dat zijn tien 
