A: 	nee dat zijn geel volgens mij 
A: 	ja we gaan inderdaad gewoon ver 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ik hebben hem al 
A: 	veertien 
B: 	ok dit zijn weer zo'n kopje en hij hebben een neus aan de rechterkant 
B: 	en bovenop hebben hij twee uitsteeksel de één zijn een rechthoek en de ander zijn een soort penne en dan links zitten er nog een driehoekje 
A: 	even kijken dit deze hebben zo'n neus 
A: 	en een heel klein sprie naar links zijn dat en twee ja één soort kegeltje een dubbel kegel en één 
A: 	balkje omhoog 
A: 	heel klein compact 
A: 	met zo'n bol neus voorop 
A: 	eigenlijk zijn het de bol neus zonder zonder piercing eigenlijk 
A: 	de bol neus zonder piercing 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	ok dat zijn voor mij de N 
A: 	ja 
A: 	negen 
A: 	dit zijn de piercing de neus zonder piercing 
A: 	ja 
A: 	neus zonder piercing 
A: 	ja 
A: 	ja 
A: 	vijf 
B: 	dit zijn met de neus en één rechthoek bovenop en één penne bovenop en een driehoekje aan de zijkant 
A: 	zonder neus piercing zonder neus 
B: 	neus neus neus 
B: 	wat zeggen je nou rechthoek en pen ? die 
B: 	oke ja dat zijn voor mij de G 
B: 	dit zijn met die neus en dat rechthoek bovenop en de pen bovenop 
B: 	ja 
B: 	dat zijn voor mij J 
