A: 	we moeten hem gaan raden 
A: 	ja 
B: 	ja ik hebben een een vierkan 
A: 	oké 
B: 	hoe gaan ik hem uitleggen 
A: 	hebben het een onderkant 
B: 	het zijn in ieder geval een beetje Pinokkiostyle 
A: 	een een vierkant onderkant bedoelen ik 
B: 	zo'n een emmer met een cilinder 
B: 	en dan daarboven nog een soort omgekeerd kegelt 
A: 	dat bedoelen ik 
A: 	nee 
A: 	hebben het rond voorwerp daarin 
B: 	een omgekeerd kegelt 
B: 	en aan de achterkant zitten nog een cirkel 
B: 	niet een 3Dcirkel zeggen maar gewoon een cirkelvormig dinge 
A: 	aan de achterkant 
A: 	hebben het lijken het op twee armp 
B: 	ja 
A: 	wat aan de zijkant zitten 
A: 	één 
B: 	ja hij staan op een soort plateautje een dun smal plateaut 
A: 	het zitten rond 
A: 	nou moeten ik even gaan zoeken 
B: 	aan de nou nee aan niet echt iets dat aan de zijkant uitsteken veel omhoog alsof die een soort van sprie op zijn hoofd hebben 
A: 	en een een soort lepel aan aan de aan in in het beker 
A: 	en één armpje aan de zijkant 
A: 	dan denken ik dat het nummer dertien zijn 
B: 	ja 
B: 	oké ik doen het nog een ik zullen het nog een keer zeggen een emmer 
B: 	en aan de linkerkant steken er een soort cilinder uit 
B: 	als een soort neus 
B: 	ja 
B: 	oké 
B: 	ja een cirkel aan de achterkant 
B: 	ja dan moeten jij drukken 
A: 	ja 
A: 	als als het vorig plaa of 
A: 	ja 
A: 	ja 
A: 	volgens mij doen we iets niet goed 
A: 	ja 
A: 	van het vorig plaat bedoelen je dan of 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	oké 
A: 	ja ja 
A: 	ja taak één ja 
A: 	deze hebben weer een lepeltje 
A: 	met een koekje of een citroen aan de achterkant en zo'n blok aan de onderkant 
A: 	ja 
B: 	ja 
B: 	en er zitten een kegel boven op het hoofd 
B: 	zo'n omgekeerd knuppelt 
B: 	dan zijn het O 
A: 	ja 
A: 	dat zijn acht 
B: 	dit zijn de Pinokkio die op een soort klein smal standaard staan met aan de achterkant een cirkel en 
B: 	achter op zijn hoofd een soort pluk 
A: 	het het lepeltje weer met het schijf citroen en die onderkant 
A: 	ja en die ja 
A: 	ja 
A: 	zeven 
B: 	pinokkio cirkel achterop 
B: 	dat zijn C 
A: 	het lepeltje met het citroen 
A: 	ja 
B: 	dit zijn de Pinokkio met het sprie en aan de achterkant een cirkel 
B: 	pinokkio hebben we ook nog 
B: 	pinokkio met kuifje en een cirkelt 
B: 	dat zijn C 
B: 	dat zijn hem 
B: 	nu 
B: 	droom over die vorm denken ik zien je het al voor je 
B: 	ja 
B: 	ja 
