B: 	wachten even we hebben er volgens mij hebben we ze allemaal hebben behalve één 
B: 	zijn het die ik noemen noemen ik die toeter 
B: 	zullen dat kunnen 
B: 	hebben die zo'n plat schijf voor zich 
B: 	ja 
B: 	en ja ja ja 
B: 	L 
B: 	ja rechts naast zich hebben die die plat schijf 
B: 	L negen 
A: 	oké dit zijn dat bakkie en dan hebben je een soort aan de zijkant zitten er een soort buisje maar daar zitten een soort hapje uit het zijn van het lijken een beetje op een soort Pacman maar dan een buisje en daarin zitten een soort groot spijker 
A: 	en aan de ander kant zitten zo'n uitvormplateau wat rond zijn 
B: 	dit zijn die laat die we net hebben dus die toeter noemen ik hem en met die met dat schotelt voor dat Batman teken 
B: 	M 
B: 	Merel ja 
A: 	ja 
A: 	met dat tafel 
A: 	nummer zeven 
B: 	ja 
B: 	C en bij jou 
B: 	C vijftien 
A: 	oké dit zijn dus zeggen maar dat kommet waar die Pacman met die spijker erin uitsteken en het bijzettafelt 
B: 	oké dit zijn de toeter de batmantoeter met het schotelt aan de voorkant 
B: 	of aan de rechterkant 
B: 	O 
A: 	yes 
A: 	nummer één 
B: 	ja 
B: 	A 
B: 	A drie 
A: 	even kijken kommetje met Pacman met de spijker en het bijzettafelt 
B: 	de de toeter de Batman Batmanlogo 
B: 	P 
A: 	nummer dertien 
