A: 	jij moeten nog een keer 
A: 	ja 
A: 	ja 
A: 	aan de onderkant 
A: 	ja 
A: 	ik weten welk het zijn 
A: 	ja 
A: 	drie 
B: 	alright deze die zijn een beetje deze hebben best wel veel verschillend object 
B: 	je uitzien misschien op je scherm ook wel dat er een kop kop koffiekopje zijn die op een soort van onderzetter staan 
B: 	bij deze lijken het alsof die door de onderzetter heen zijn zakken 
B: 	en nou ja je hebben aan de aan de linkerkant zeggen maar een soort van haak 
B: 	bovenop lijken het soort van twee klein schoorsteen of hoe je het ook willen noemen en echt een beetje een slurfneus 
B: 	ik denken toch een beetje in gezicht dus 
B: 	ja 
A: 	deze zijn degeen waar dat vierkant recht door het figuur heen gaan 
A: 	dus dat het er zo omheen zitten 
A: 	met zo'n cilinder die er voorop liggen 
A: 	en dan die twee klein rechthoekjes erbovenop 
A: 	ja 
A: 	ja 
A: 	ja zes 
B: 	ja 
B: 	ja 
B: 	dat zijn g 
B: 	deze zijn door het onderzettertje heen zakken hebben een slurfneus en een haak aan de linkerkant 
A: 	dit zijn met dat vierkant door het figuur heen met die staaf aan de voorkant en de twee blok bovenop 
B: 	ja 
B: 	ja nou moeten ik ook zoeken waar zijn die door het door het plateau heen zijn 
B: 	ja precies 
B: 	p 
A: 	ja vijfteen 
A: 	twee klein rechthoekjes bovenop en het vierkant erdoorheen 
B: 	deze hebben een slurfneus zijn door zijn onderzetter heen zakken 
B: 	en hij hebben een haak 
B: 	dat zijn l 
