A: 	ik gaan even zoeken hoor 
A: 	ik ik snapen wel wat je bedoelen met die ja ik weten dat bowlingding herken ik wel maar dan op de kop inderdaad 
A: 	ja ja bij mij zijn dat de veertien 
A: 	ok 
B: 	dit zijn eigenlijk het poppe met de dik neus iets op zijn hoofd een kegeltje ook nog op zijn hoofd met een 
B: 	ja rechthoekje en 
B: 	ja één 
B: 	wat een driehoekig vormp hebben een triangel een kegel 
A: 	dit zijn die met die omgekeerd bowling pin 
A: 	bij mij drie 
B: 	ik zijn even aan het zoeken hoor 
B: 	ja ja de kegel en een 
B: 	ja weten ik dan misgaan het om N tweepoot 
A: 	dat zijn negen bij mij 
A: 	ok 
A: 	o sorry dit zijn die omgekeerd bowling pion 
A: 	ja dertien bij mij 
B: 	dit zijn die met die rond neus 
B: 	zonder piercing gewoon alleen de neus met twee staaf op zijn hoofd en zo 
B: 	met zo'n goo erin 
A: 	ja zijn vijf bij mij 
A: 	dit zijn de bowling pion 
A: 	ja negen bij mij o 
B: 	ja dan gaan het om G 
B: 	dit zijn het normaal nee wachten ik zeggen het verkeerd dit zijn zeggen maar die met een rond neus twee dinget op zijn kop en een waterpijp aan de linkerkant 
B: 	ja dat worden dan J 
