A: 	oké nou vertel 
B: 	ja 
B: 	ja dan moeten jij 
A: 	met een lang neus 
A: 	oké 
B: 	ja tuurlijk sorry 
A: 	hebben die twee van die ding op zijn op zijn 
B: 	nou het zijn hij hebben een cilinder aan de linkerkant zitten 
B: 	ja en dan achter aan de achterkant hebben die het lijken een rond zitten 
A: 	hebben die zo'n rond ding aan de zijkant van zijn hoofd 
B: 	maar je zien maar de helft 
B: 	ja 
A: 	ja 
A: 	nummer dertien 
A: 	deze 
B: 	ja 
B: 	ja kunnen wel 
A: 	dit zijn jou pinokkio 
A: 	met dat dinge erop en dat rond ja 
B: 	ja 
B: 	O 
A: 	ja die hebben ik vinden 
B: 	ja 
B: 	sorry 
B: 	dat zijn met het citroenschijf 
B: 	en dan links de cilinder en daarbovenop weer zo'n pipetjeachtig achter 
A: 	pinokkio 
A: 	even zoeken ja nummer zeven 
A: 	ja 
A: 	pinokkio 
B: 	even zoeken 
B: 	ja met links de cilinder 
B: 	C 
B: 	dit zijn de citroen citroenschijfje 
B: 	ja dat zijn C 
B: 	top 
B: 	yes 
