B: 	ja 
B: 	oké die hebben ik vinden 
B: 	daarvoor staan zo'n heel lang paal toch 
B: 	en dan twee uitsteeksel en één zijn lang dan die ander 
B: 	oké 
B: 	dan zeggen ik D 
A: 	oké ik gaan weer over dat ei praten 
A: 	die zitten nu bovenop 
A: 	ja 
A: 	het zijn net zo'n ei als net die neus zijn 
A: 	en dan hebben die dan staan die eigenlijk aan een paal 
A: 	en met twee van die armp een beetje zo 
A: 	ja 
A: 	denken het ja 
A: 	ja 
A: 	ja 
A: 	dat zijn die een die ik ook wel hebben doen of niet 
A: 	hebben we deze nog niet hebben 
A: 	wat ik van waarvan ik zeggen het ei 
A: 	ja 
A: 	ja dat hebben ik ook volgens mij ja het opvallen me niet eens op 
A: 	ja oké 
A: 	ja dan hebben je die balk en dat kop of ja dat dat dat die normaal vorm die zitten net iets hoog dan die balk toch 
A: 	ja oké 
A: 	zijn nummer vijftien 
B: 	oké volgens mij hebben we deze al hebben 
B: 	dit zijn het komme en er zitten dus weer zo'n ei liggen er achterop met een groot balk hiervoor en die twee armp 
B: 	waar één armpje lang zijn dan die ander 
B: 	volgens mij hebben ik dat iets met die armpjes zeggen of zo 
B: 	ja 
B: 	ik hebben ook heel erg omschrijven als in groot balk voor 
B: 	of armp omheen 
B: 	dit zijn L 
A: 	ik hebben dat ei hoofd 
A: 	of dat ei op dat hoofd met die armp die we net ook bespraken die zo tussen de veger zitten en de 
A: 	ja 
B: 	dit zijn met die armp 
B: 	ja en die balk voor 
B: 	ei bovenop 
A: 	nu zijn jij 
A: 	ja en dat eit 
A: 	ja oké dat zijn zes 
B: 	armpjes dat zijn J 
B: 	dit zijn met die armp en die balk voor en dat ei bovenop 
A: 	ik hebben die met die armp en dat eihoofd 
A: 	dat ei op zijn de bovenkant 
A: 	die jij heel tijd eerder zeggen met die paal ook ervoor 
A: 	bij mij halen dat allemaal niet uit 
A: 	ja met die armp 
A: 	ja 
A: 	dat zijn nummer drie 
