A: 	deze hebben een soort handvatding aan de bovenkant 
A: 	en dan aan de rechterkant een blok op een groot blok op een groot blok op een groot blok 
A: 	ja datzelfde ding als die bovenop hebben zitten aan de linkerkant en daarachter zitten ook nog een dinge 
B: 	ja 
B: 	ja zo'n aan de voorkant zijn zo vierkant die steeds groot worden zeggen maar op elkaar 
B: 	oké 
B: 	ja 
B: 	ja en dan bovenop en link dezelfde figuur dinge eraan en aan de achterkant 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	een kegel bovenop 
A: 	en links aan de zijkant 
A: 	en zitten er ver nog wat 
A: 	ja ik denken ik denken dat ik hem dat ik hem hebben 
A: 	dat zijn elf 
B: 	deze hebben boven en link hetzelfde uitsteeksel 
B: 	en dan aan de rechterkant vierkant die groot worden 
B: 	en aan de achterkant nog een soort buigen stang 
A: 	deze hebben weer die soort kegel bovenop en dan ook aan de zijkant aan de 
A: 	linkerkant en dan die vierkant die steeds groot worden 
A: 	ja die één aan de voorkant één aan de zijkant en dan die blok ja 
A: 	dat zijn bij mij nummer negen 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	deze hebben aan de bovenkant en aan de linkerkant hetzelfde uitsteeksel 
B: 	en aan de rechterkant die uitdijen kubus en nog een dinge aan de achterkant 
A: 	deze hebben weer die kegel bovenop en die kegel aan de zijkant en dan die vierkant die steeds groot worden 
A: 	ja met die vierkant die steeds groot worden ja dat zijn nummer vier 
B: 	ja 
B: 	dat zijn bij mij B 
B: 	dit zijn met boven en link hetzelfde dinge en dan rechts die uitdijen kubuss 
