B: 	het voelen alsof deze persoon één of dit kop een tafel vasthouden heel hoog met een piramide op zijn kop 
A: 	ja 
B: 	erop 
B: 	ja 
B: 	heel klein dinge aan de achterkant 
A: 	uit de emmer 
B: 	ja 
A: 	uit het vierkant 
A: 	zien 
A: 	verticaal daar ja ja 
A: 	twaalf 
A: 	deze die die tafel 
A: 	die met die 
B: 	ja 
B: 	piramide op zijn kop 
B: 	ja oké A 
A: 	staan hij 
A: 	ja die tafel 
A: 	okee 
A: 	veertien 
B: 	houden een tafel vast met omdraaien piramide erop en heel klein staart erachter 
B: 	tafel heel hoog aan het houden zijn , met omgedraaide piramide op de voorkant 
A: 	dit zijn die tafel 
B: 	en er staan op die tafel staan twee poo die uitsteken 
A: 	veertien 
A: 	de tafel 
B: 	ja 
B: 	F 
B: 	houden tafel vast 
B: 	piramide op zijn kop erop 
B: 	klein staart achter 
B: 	ja 
B: 	D 
