A: 	ja 
A: 	ja 
A: 	zo'n citroen hebben ik 
A: 	ja ja ja oké 
A: 	ja 
A: 	ja oké 
A: 	bij mij zijn het dan dertien 
B: 	oké ik hebben een rood scherm 
B: 	deze hebben één uitsteeksel 
B: 	aan de bovenkant en een soort cilindervormig balk met een met rond zijkant aan de onderkant 
B: 	en een stuk dat uitsteken aan de zijkant 
B: 	ja zeggen maar aan de onderkant zitten een balk 
B: 	maar die zijn rond afronden zeggen maar 
B: 	met zo'n 
B: 	ja die 
B: 	met zo'n er zitten nog een half rond 
B: 	en er zitten een pluimp aan 
B: 	ja 
B: 	ja 
B: 	oké wachten even 
B: 	nu moeten ik even ik ik zijn het even 
B: 	ze staan ook allemaal op een ander plek nu 
B: 	oké 
B: 	er zitten iets aan de onderkant en links steken iets uit 
B: 	wat link uitsteken best wel rond 
B: 	oké sorry wachten even nu weten ik het niet veel 
B: 	oké nog één keer 
B: 	ja ja ja ja hier hebben we de vorig keer ook 
B: 	ja deze hebben zo zo'n soort van balk maar dan met rond zijkant eronder 
B: 	en er zitten zo'n fliebel aan de aan de voorkant erop 
B: 	rond ja ja ja oké dan zijn het O 
B: 	sorry 
A: 	dit zijn weer dat kop met ook die citroenschijf maar dan met de lepel erin 
A: 	en zo'n buisje die er link nog uit steken 
A: 	ja ja ja 
B: 	ze zijn weer veranderen 
B: 	oké 
B: 	dit zijn diegene waar we het net zo lang over doen die onderaan zo'n balk hebben en zo'n fliep aan de voorkant en zo achteraan een schijf 
B: 	en één rond dat uitsteken 
A: 	en een lepeltje 
A: 	ja ja 
A: 	achten 
B: 	ja ja ja en één zo'n fliebel aan de bovenkant 
B: 	ja ja 
B: 	ja dat zijn C 
B: 	oké ik hebben die waar we zo lang over meedoen met die afgeron balk en één zo'n fliebel en een rond 
A: 	de lepel met een citroen 
A: 	en nog zo'n klein balk aan de linkerkant eruit 
B: 	ja met die afgeron ding 
B: 	ja 
B: 	dat zijn C 
B: 	nice 
B: 	Hallo 
A: 	en de lepel 
A: 	zeven 
A: 	dit zijn met de lepel eruit en de citroenschijf en dan nog links een balk 
A: 	eindelijk 
